event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2011-08-20,Tateki Matsuda,Saul Almeida,Saul Almeida,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-05-05,Tateki Matsuda,Johnny Campbell,Tateki Matsuda,U-DEC,5,5.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-12-16,Tateki Matsuda,Myung Hwan Lee,Tateki Matsuda,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-09-28,Tateki Matsuda,Matthew Tran,Matthew Tran,S-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-11-09,Tateki Matsuda,Paul Gorman,Paul Gorman,S-DEC,5,5.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-04-25,Tateki Matsuda,Matt Doherty,Tateki Matsuda,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-08-08,Tateki Matsuda,Robbie Leroux,Tateki Matsuda,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-10-26,Te Edwards,Brad Mountain,Te Edwards,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-06-28,Te Edwards,Raymond Pina,Raymond Pina,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-08-22,Te Edwards,Bryce Logan,Te Edwards,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-01-29,Te Edwards,Nick Bustamante,Te Edwards,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-08-03,Te Edwards,Ousmane Thomas Diagne,Te Edwards,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-09-23,Te Edwards,Brandon Trujillo,Te Edwards,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-06-26,Te Edwards,Austin Tweedy,Te Edwards,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-05-15,Tedd Williams,Robert Burnell,Tedd Williams,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-06-01,Tedd Williams,Joseph Marquez,Tedd Williams,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-09-01,Tedd Williams,Travis Fulton,Tedd Williams,U-DEC,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-10-09,Tedd Williams,Joe Campanella,Tedd Williams,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-12-11,Tedd Williams,Bull Shaw,Tedd Williams,U-DEC,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-05-28,Todd Brown,Rich Weeks,Todd Brown,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-05-28,Todd Brown,Todd Seyler,Todd Brown,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-05-28,Todd Brown,Earl Crawford,Todd Brown,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-07-16,Todd Brown,Steve McCarty,Todd Brown,SUB,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-05-13,Todd Brown,Nick Pernice,Todd Brown,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-07-29,Todd Brown,Jim Hagar,Todd Brown,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-07-29,Todd Brown,Joshua Lee,Todd Brown,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-01-24,Todd Brown,Brandon Munson,Todd Brown,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-03-31,Todd Brown,Josh Hendricks,Josh Hendricks,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-08-11,Todd Brown,Jeremiah Adriano,Todd Brown,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-10-12,Todd Brown,Nick Shandry,Todd Brown,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-01-11,Todd Brown,Jesse Veium,Jesse Veium,Overturned,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-05-24,Todd Brown,Mike McKenzie,Todd Brown,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-06-28,Todd Brown,Rick Roufus,Todd Brown,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-12-05,Todd Brown,Ron Fields,Todd Brown,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-03-21,Todd Brown,Robert Turner,Todd Brown,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-11-06,Todd Brown,Rodney Sleepers,Todd Brown,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-05-28,Tofiq Musayev,Yavuz Selim Kazanci,Tofiq Musayev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-09-21,Tofiq Musayev,Emilbek Beknazarov,Tofiq Musayev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-11-30,Tofiq Musayev,Mukhamed Berkhamov,Mukhamed Berkhamov,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-03-01,Tofiq Musayev,Musulman Muslimov,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-04-20,Tofiq Musayev,Evgeny Lakhin,Evgeny Lakhin,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-06-13,Tofiq Musayev,Said Khalilov,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-10-31,Tofiq Musayev,Aigun Akhmedov,Aigun Akhmedov,U-DEC,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-09-18,Tofiq Musayev,Magomed Alkuliev,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-10-02,Tofiq Musayev,Shamil Magomedzagidov,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-11-27,Tofiq Musayev,Yincang Bao,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-06-05,Tofiq Musayev,Jiang Tao,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-06-05,Tofiq Musayev,Ooi Aik Tong,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-12-31,Tofiq Musayev,Ayub Fahimi,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-02-25,Tofiq Musayev,Murad Shakhbanov,Tofiq Musayev,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-10-21,Tofiq Musayev,Murat Kocaturk,Tofiq Musayev,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-02-24,Tofiq Musayev,Zurab Betergaraev,Tofiq Musayev,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-05-04,Tofiq Musayev,Marif Piraev,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-12-31,Tofiq Musayev,Nobumitsu Osawa,Tofiq Musayev,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-06-02,Tofiq Musayev,Daron Cruickshank,Tofiq Musayev,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-10-12,Tofiq Musayev,Damien Brown,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-12-31,Tofiq Musayev,Johnny Case,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-12-31,Tofiq Musayev,Patricky Freire,Tofiq Musayev,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-06-13,Tofiq Musayev,Roberto Satoshi de Souza,Roberto Satoshi de Souza,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-07-22,Tofiq Musayev,Sidney Outlaw,Tofiq Musayev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-03-10,Tofiq Musayev,Alexandr Shabliy,Alexandr Shabliy,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-07-30,Tofiq Musayev,Akira Okada,Tofiq Musayev,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-11-04,Tofiq Musayev,Koji Takeda,Tofiq Musayev,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2001-11-17,Tom Blackledge,John Nicholson,Tom Blackledge,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2002-03-10,Tom Blackledge,Matthias Riccio,Matthias Riccio,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2002-11-16,Tom Blackledge,Paul Hopkins,Tom Blackledge,SUB,0,,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2003-03-16,Tom Blackledge,Julian Gonzales,Draw,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2003-11-30,Tom Blackledge,Evert Fyeet,Tom Blackledge,DQ,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2004-09-18,Tom Blackledge,Neil Hall,Tom Blackledge,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-04-30,Tom Blackledge,Kuljit Degun,Tom Blackledge,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-07-02,Tom Blackledge,Alan Murdock,Tom Blackledge,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-10-01,Tom Blackledge,Tengiz Tedoradze,Tengiz Tedoradze,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-11-26,Tom Blackledge,Tengiz Tedoradze,Draw,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-02-10,Tom Blackledge,Tom Howard,Tom Blackledge,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-08-05,Tom Blackledge,Przemyslaw Mysiala,Tom Blackledge,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-11-04,Tom Blackledge,Stefan Struve,Stefan Struve,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-03-02,Tom Blackledge,Martin Thompson,Draw,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-04-29,Tom Blackledge,Tatsuya Mizuno,Tom Blackledge,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-08-15,Tom Blackledge,Enoc Solves Torres,Tom Blackledge,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2004-11-06,Tom Murphy,Jason Guida,Tom Murphy,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-02-25,Tom Murphy,Josh Hendricks,Tom Murphy,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-02-19,Torrez Finney,Wesley McCracken,Torrez Finney,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-06-11,Torrez Finney,Jacob Zogg,Torrez Finney,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-08-05,Torrez Finney,Justin Dorsey,Torrez Finney,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-10-14,Torrez Finney,Ivan Batinich,Torrez Finney,KO/TKO,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-04-22,Torrez Finney,Caleb Crump,Torrez Finney,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-08-04,Torrez Finney,Eljeria Portee,Torrez Finney,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-10-10,Torrez Finney,Yuri Panferov,Torrez Finney,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-05-04,Torrez Finney,Tyson Jeffries,Torrez Finney,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-08-20,Torrez Finney,Cameron Rowston,Torrez Finney,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-10-01,Torrez Finney,Abdelah Er-Ramy,Torrez Finney,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1996-07-26,Travis Fulton,Dave Strasser,Dave Strasser,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1996-09-01,Travis Fulton,Wesley Jamieson,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1996-11-23,Travis Fulton,Clayton Miller,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-02-01,Travis Fulton,Scott Morton,Scott Morton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-02-15,Travis Fulton,Dan Croonquist,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-02-22,Travis Fulton,Ryan Jensen,Ryan Jensen,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-04-18,Travis Fulton,Angelo Rivera,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-04-18,Travis Fulton,Brian Dunn,Brian Dunn,U-DEC,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-05-10,Travis Fulton,August Porquet,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-06-24,Travis Fulton,Dan Croonquist,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-06-25,Travis Fulton,Matt Andersen,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-06-25,Travis Fulton,Dennis Reed,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-07-19,Travis Fulton,Brad Kohler,Draw,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-08-09,Travis Fulton,Dennis Reed,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-08-30,Travis Fulton,Jeremy Horn,Draw,Draw,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-09-10,Travis Fulton,Ben Smaldino,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-09-10,Travis Fulton,Dan Croonquist,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-09-10,Travis Fulton,Clayton Miller,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-09-20,Travis Fulton,Paul Moller,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-09-20,Travis Fulton,Matt Lindland,Matt Lindland,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-10-04,Travis Fulton,Bob Magee,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-11-22,Travis Fulton,Mike Delaney,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-12-13,Travis Fulton,Eddie Moore,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-12-13,Travis Fulton,Noe Hernandez,Noe Hernandez,U-DEC,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-12-29,Travis Fulton,Ben Pearce,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1997-12-29,Travis Fulton,Andy Schmidt,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-01-16,Travis Fulton,Jim Theobald,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-01-16,Travis Fulton,Jim Czajkowski,Jim Czajkowski,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-02-13,Travis Fulton,Greg Ford,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-02-20,Travis Fulton,Jamie Schell,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-02-20,Travis Fulton,Sam Adkins,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-02-20,Travis Fulton,Courtney Turner,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-03-09,Travis Fulton,Bob Waters,Travis Fulton,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-03-09,Travis Fulton,Jason Powers,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-03-26,Travis Fulton,Jeremy Horn,Draw,Draw,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-04-10,Travis Fulton,Jason Powers,Travis Fulton,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-04-10,Travis Fulton,Clayton Miller,Travis Fulton,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-04-18,Travis Fulton,Dan Severn,Dan Severn,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-05-02,Travis Fulton,Jaymon Hotz,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-05-09,Travis Fulton,Jason Lautzenheiser,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-05-09,Travis Fulton,Jeremy Morrison,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-05-30,Travis Fulton,Eric Hill,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-06-13,Travis Fulton,Guy Hinton,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-06-20,Travis Fulton,George Allen,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-06-20,Travis Fulton,Brad Anderson,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-06-25,Travis Fulton,Marvin Jones,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-06-25,Travis Fulton,Mike Johnson,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-07-15,Travis Fulton,Devin Love,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-07-15,Travis Fulton,Dave DeRosa,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-07-15,Travis Fulton,Brian Gassaway,Brian Gassaway,U-DEC,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-07-28,Travis Fulton,Davey Conger,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-07-28,Travis Fulton,Felix Mitchell,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-08-04,Travis Fulton,David Pa'aluhi,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-08-14,Travis Fulton,Mario Roberto,Mario Roberto,U-DEC,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-08-22,Travis Fulton,Larry Parker,Draw,Draw,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-09-10,Travis Fulton,Robby Ruby,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-09-10,Travis Fulton,Albert Newberry,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-10-04,Travis Fulton,Ikuhisa Minowa,Draw,Draw,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-10-17,Travis Fulton,Tommy Sauer,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-01,Travis Fulton,Alex Cerqueira,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-01,Travis Fulton,Augusto Ferreira,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-01,Travis Fulton,Luiz Claudio Nunes,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-06,Travis Fulton,Joe Geromiller,Draw,Draw,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-07,Travis Fulton,David Giannotti,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-18,Travis Fulton,Mario Neto,Mario Neto,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-11-21,Travis Fulton,Jeremy Bullock,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-12-31,Travis Fulton,George Allen,George Allen,DQ,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-01-09,Travis Fulton,Wade Hamilton,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-01-09,Travis Fulton,Peter McLeod,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-01-09,Travis Fulton,John Dixson,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-01-20,Travis Fulton,Barrett Banks,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-01-30,Travis Fulton,Tommy Graham,Travis Fulton,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-01-31,Travis Fulton,Kevin Burrell,Travis Fulton,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-03-20,Travis Fulton,Harry Moskowitz,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-04-02,Travis Fulton,Vladimir Matyushenko,Vladimir Matyushenko,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-04-03,Travis Fulton,Albert Newberry,Travis Fulton,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-01-29,Troy Mandaloniz,Issac Sarabia Peralta,Troy Mandaloniz,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2005-04-02,Troy Mandaloniz,Matt Tiara,Troy Mandaloniz,S-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-09-30,Troy Mandaloniz,David Webber,David Webber,U-DEC,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1996-08-01,Tulio Palhares,Andre Ubirajara,Tulio Palhares,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1996-08-01,Tulio Palhares,Edimar Pasturezak,Edimar Pasturezak,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1996-09-01,Tulio Palhares,Roberto Hoche,Roberto Hoche,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-02-03,Tulio Palhares,Igor Vovchanchyn,Draw,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-04-26,Tulio Palhares,Carlos Danilo,Carlos Danilo,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-03-14,Tyler Diamond,Chad McEwen,Tyler Diamond,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-10-03,Tyler Diamond,Matt Goff,Tyler Diamond,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-01-23,Tyler Diamond,Jimmy Jones,Tyler Diamond,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-03-19,Tyler Diamond,Tyrone Henderson,Tyler Diamond,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-08-27,Tyler Diamond,Edward Thommes,Tyler Diamond,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-11-19,Tyler Diamond,Cody Walker,Tyler Diamond,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-03-18,Tyler Diamond,Ran Weathers,Tyler Diamond,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-05-18,Tyler Diamond,Nathan Stolen,Tyler Diamond,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
