official_name,official_athlete_url,nickname,division,record,slug_name,profile_name,canonical_athlete_url,profile_division,profile_record,profile_status,profile_source_tag,birthplace,age,height,reach,weight,octagon_debut,alternate_slug_names,official_url_identity_valid,official_url_identity_status,official_url_identity_reason,ufcstats_name,ufcstats_url,ufcstats_resolution,combat_sport,combat_sport_reason,combat_sport_profile_url,coverage_eligible
Ramon Taveras,https://www.ufc.com/athlete/ramon-taveras,"""The Savage""",Featherweight,10-4-0 (W-L-D),ramon taveras,Ramon Taveras,https://www.ufc.com/athlete/ramon-taveras,Featherweight Division,10-4-0 (W-L-D),Active,,"New York, United States",31,68.00 in,70.00 in,147.00,"Jan. 20, 2024",ramon taveras,True,valid,,Ramon Taveras,http://ufcstats.com/fighter-details/c5ccd878231c5407,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rana Rudra Pratap Singh,https://www.ufc.com/athlete/rana-rudra-pratap-singh,,Bantamweight,0-1-0 (W-L-D),rana rudra pratap singh,Rana Rudra Pratap Singh,https://www.ufc.com/athlete/rana-rudra-pratap-singh,Bantamweight Division,0-1-0 (W-L-D),Active,,,26,,,135.50,"Jul. 21, 2026",rana rudra pratap singh,True,valid,,Rana Rudra Pratap Singh,http://ufcstats.com/fighter-details/254ed71756cfd18c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Randy Brown,https://www.ufc.com/athlete/randy-brown,"""Rudeboy""",Welterweight,20-8-0 (W-L-D),randy brown,Randy Brown,https://www.ufc.com/athlete/randy-brown,Welterweight Division,20-8-0 (W-L-D),Active,,"Spanish Town, Jamaica",35,75.00 in,78.00 in,171.00,"Jan. 31, 2016",randy brown,True,valid,,Randy Brown,http://ufcstats.com/fighter-details/c6aee362c7a7d482,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rani Yahya,https://www.ufc.com/athlete/rani-yahya,,Bantamweight,28-12-1 (W-L-D),rani yahya,Rani Yahya,https://www.ufc.com/athlete/rani-yahya,Bantamweight Division,28-12-1 (W-L-D),Active,,"Brasilia, Brazil",39,66.00 in,67.00 in,145.00,"Jan. 23, 2011",rani yahya,True,valid,,Rani Yahya,http://ufcstats.com/fighter-details/94527830000ab715,ufc_fighter_details,mma,ufcstats_profile_match,,True
Raoni Barcelos,https://www.ufc.com/athlete/raoni-barcelos,,Bantamweight,22-5-0 (W-L-D),raoni barcelos,Raoni Barcelos,https://www.ufc.com/athlete/raoni-barcelos,Bantamweight Division,22-5-0 (W-L-D),Active,,"State of Rio de Janeiro, Brazil",39,67.50 in,67.00 in,136.00,"Jul. 14, 2018",raoni barcelos|raoni barselos,True,valid,,Raoni Barcelos,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,ufc_fighter_details,mma,ufcstats_profile_match,,True
Raquel Pennington,https://www.ufc.com/athlete/raquel-pennington,"""Rocky""",Women's Bantamweight,16-10-0 (W-L-D),raquel pennington,Raquel Pennington,https://www.ufc.com/athlete/raquel-pennington,Women's Bantamweight Division,16-10-0 (W-L-D),Active,#13 PFP,"Colorado Springs, United States",37,67.00 in,67.50 in,135.00,"Dec. 1, 2013",raquel pennington|rakel pennington,True,valid,,Raquel Pennington,http://ufcstats.com/fighter-details/fc169c387b4b465d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Raul Rosas Jr.,https://www.ufc.com/athlete/raul-rosas-jr,"""El Nino Problema""",Bantamweight,13-1-0 (W-L-D),raul rosas jr,Raul Rosas Jr.,https://www.ufc.com/athlete/raul-rosas-jr,Bantamweight Division,13-1-0 (W-L-D),Active,,"Clovis, United States",21,69.00 in,67.00 in,135.00,"Dec. 10, 2022",raul rosas jr|raul rosas ml,True,valid,,Raul Rosas Jr.,http://ufcstats.com/fighter-details/fe2babf95de24fb1,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ravena Oliveira,https://www.ufc.com/athlete/ravena-oliveira,"""Kenoudy""",Women's Strawweight,7-4-1 (W-L-D),ravena oliveira,Ravena Oliveira,https://www.ufc.com/athlete/ravena-oliveira,Women's Strawweight Division,7-4-1 (W-L-D),Active,,"Miguel Calmon, Brazil",29,65.00 in,65.00 in,115.50,"Oct. 14, 2023",ravena oliveira|ravena oliveyra morais,True,valid,,Ravena Oliveira,http://ufcstats.com/fighter-details/4948e412fa6ab67d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rayanne Dos Santos,https://www.ufc.com/athlete/rayanne-dos-santos,,Women's Strawweight,14-9-0 (W-L-D),rayanne dos santos,Rayanne Dos Santos,https://www.ufc.com/athlete/rayanne-dos-santos,Women's Strawweight Division,14-9-0 (W-L-D),Active,,"Belém, Brazil",29,62.00 in,62.00 in,116.00,"Dec. 9, 2023",rayanne dos santos,True,valid,,Rayanne dos Santos,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Regina Tarin,https://www.ufc.com/athlete/regina-malpica-rivera,"""Kill Bill""",Women's Flyweight,8-0-0 (W-L-D),,Regina Tarin,https://www.ufc.com/athlete/regina-malpica-rivera,Women's Flyweight Division,8-0-0 (W-L-D),Active,,"Mexico City, Mexico",21,67.00 in,66.00 in,125.00,"Feb. 28, 2026",,True,slug_mismatch_profile_valid,slug_name_mismatch:regina malpica rivera,Regina Tarin,http://ufcstats.com/fighter-details/9f5609dba6584ab2,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rei Tsuruya,https://www.ufc.com/athlete/rei-tsuruya,,Flyweight,11-1-0 (W-L-D),rei tsuruya,Rei Tsuruya,https://www.ufc.com/athlete/rei-tsuruya,Flyweight Division,11-1-0 (W-L-D),Active,,Japan,24,66.00 in,68.00 in,125.50,"Feb. 3, 2024",rei tsuruya|rey tsuruya,True,valid,,Rei Tsuruya,http://ufcstats.com/fighter-details/2f43a3e82661fa99,ufc_fighter_details,mma,ufcstats_profile_match,,True
Reinier de Ridder,https://www.ufc.com/athlete/reinier-de-ridder,"""RdR""",Light Heavyweight,21-4-0 (W-L-D),reinier de ridder,Reinier de Ridder,https://www.ufc.com/athlete/reinier-de-ridder,Light Heavyweight Division,21-4-0 (W-L-D),Active,,"Tilburg, Netherlands",35,76.00 in,78.00 in,186.00,"Nov. 9, 2024",reinier de ridder|rene de ridder,True,valid,,Reinier de Ridder,http://ufcstats.com/fighter-details/d549cefc7c54ab78,ufc_fighter_details,mma,ufcstats_profile_match,,True
Renato Moicano,https://www.ufc.com/athlete/renato-moicano,,Lightweight,21-7-1 (W-L-D),renato moicano,Renato Moicano,https://www.ufc.com/athlete/renato-moicano,Lightweight Division,21-7-1 (W-L-D),Active,,"Brasilia, Brazil",37,71.00 in,72.00 in,156.00,"Dec. 20, 2014",renato moicano|renato moykano,True,valid,,Renato Moicano,http://ufcstats.com/fighter-details/b6452706b373eea1,ufc_fighter_details,mma,ufcstats_profile_match,,True
Reyes Cortez,https://www.ufc.com/athlete/reyes-cortez,,Bantamweight,0-2-0 (W-L-D),reyes cortez,Reyes Cortez,https://www.ufc.com/athlete/reyes-cortez,Bantamweight Division,0-2-0 (W-L-D),Active,,"Phoenix, United States",31,67.00 in,68.00 in,135.50,"Jul. 21, 2026",reyes cortez,True,valid,,Reyes Cortez Jr.,http://ufcstats.com/fighter-details/1a7d44196949577c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rheza Arianto,https://www.ufc.com/athlete/rheza-arianto,,Featherweight,0-0-0 (W-L-D),rheza arianto,Rheza Arianto,https://www.ufc.com/athlete/rheza-arianto,Featherweight Division,0-0-0 (W-L-D),Active,,"Malang, Indonesia",22,,,,"Jul. 21, 2026",rheza arianto,True,valid,,,,,mma,,,True
Ricardo Prasel,https://www.ufc.com/athlete/ricardo-prasel,"""Alemao""",Heavyweight,9-2-0 (W-L-D),ricardo prasel,Ricardo Prasel,https://www.ufc.com/athlete/ricardo-prasel,Heavyweight Division,9-2-0 (W-L-D),Active,,"State of Paraná, Brazil",33,79.00 in,,239.00,"Jul. 21, 2026",ricardo prasel|rikardo prasel,True,valid,,Ricardo Prasel,http://ufcstats.com/fighter-details/b51d0ed3782a1bf5,ufc_fighter_details,mma,ufcstats_profile_match,,True
Richard Jacobi,https://www.ufc.com/athlete/richard-jacobi,,Heavyweight,0-1-0 (W-L-D),richard jacobi,Richard Jacobi,https://www.ufc.com/athlete/richard-jacobi,Heavyweight Division,0-1-0 (W-L-D),Active,,,29,,,244.50,"Jul. 21, 2026",richard jacobi|richard dzhakobi,True,valid,,Richard Jacobi,http://ufcstats.com/fighter-details/46f557bd44da630e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rick Palacios,https://www.ufc.com/athlete/rick-palacios,"""El Gallero""",Featherweight,10-1-0 (W-L-D),rick palacios,Rick Palacios,https://www.ufc.com/athlete/rick-palacios,Featherweight Division,10-1-0 (W-L-D),Active,,"McAllen, United States",35,66.00 in,,146.00,"Jul. 21, 2026",rick palacios,True,valid,,Ricky Palacios,http://ufcstats.com/fighter-details/797ddccda75f169f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rickson Zenidim,https://www.ufc.com/athlete/rickson-zenidim,,Flyweight,0-1-0 (W-L-D),rickson zenidim,Rickson Zenidim,https://www.ufc.com/athlete/rickson-zenidim,Flyweight Division,0-1-0 (W-L-D),Active,,"Ponta Grossa, Brazil",24,,,,"Jul. 21, 2026",rickson zenidim|rikson zenidim,True,valid,,Rickson Zenidim,http://ufcstats.com/fighter-details/c879d8620261b1a3,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ricky Calatayud,https://www.ufc.com/athlete/ricky-calatayud,,Flyweight,0-0-0 (W-L-D),ricky calatayud,Ricky Calatayud,https://www.ufc.com/athlete/ricky-calatayud,Flyweight Division,0-0-0 (W-L-D),Active,,"Escondido, United States",40,,,,"Jul. 21, 2026",ricky calatayud,True,valid,,Ricky Calatayud,http://ufcstats.com/fighter-details/800feaa25700a85f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ricky Simon,https://www.ufc.com/athlete/ricky-simon,,Bantamweight,22-7-1 (W-L-D),ricky simon,Ricky Simon,https://www.ufc.com/athlete/ricky-simon,Bantamweight Division,22-7-1 (W-L-D),Active,,"Pendleton, United States",33,66.00 in,69.00 in,135.50,"Aug. 8, 2017",ricky simon,True,valid,,Ricky Simon,http://ufcstats.com/fighter-details/5987b2458f4b5290,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ricky Steele,https://www.ufc.com/athlete/ricky-steele,,Bantamweight,0-0-0 (W-L-D),ricky steele,Ricky Steele,https://www.ufc.com/athlete/ricky-steele,Bantamweight Division,0-0-0 (W-L-D),Active,,"Indio, United States",35,,,136.00,"Jul. 21, 2026",ricky steele,True,valid,,Ricky Steele,http://ufcstats.com/fighter-details/09a6ed4ee97a5606,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ricky Turcios,https://www.ufc.com/athlete/ricky-turcios,,Bantamweight,13-5-0 (W-L-D),ricky turcios,Ricky Turcios,https://www.ufc.com/athlete/ricky-turcios,Bantamweight Division,13-5-0 (W-L-D),,,"Houston, United States",32,69.00 in,71.00 in,135.00,"Jul. 11, 2017",ricky turcios,True,valid,,Ricky Turcios,http://ufcstats.com/fighter-details/cd3d7e37ff2d679c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rico DiSciullo,https://www.ufc.com/athlete/rico-disciullo,,Bantamweight,9-3-0 (W-L-D),rico disciullo,Rico DiSciullo,https://www.ufc.com/athlete/rico-disciullo,Bantamweight Division,9-3-0 (W-L-D),Active,,"Cambridge, United States",36,68.00 in,71.00 in,135.50,"Jul. 21, 2026",rico disciullo,True,valid,,Rico DiSciullo,http://ufcstats.com/fighter-details/ec7f7263bf36579b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rico Farrington,https://www.ufc.com/athlete/rico-farrington,,Welterweight,0-0-0 (W-L-D),rico farrington,Rico Farrington,https://www.ufc.com/athlete/rico-farrington,Welterweight Division,0-0-0 (W-L-D),Active,,Bahamas,34,,,171.00,"Jul. 21, 2026",rico farrington,True,valid,,Rico Farrington,http://ufcstats.com/fighter-details/f89e6e66b9b112de,ufc_fighter_details,mma,ufcstats_profile_match,,True
