official_name,official_athlete_url,nickname,division,record,slug_name,profile_name,canonical_athlete_url,profile_division,profile_record,profile_status,profile_source_tag,birthplace,age,height,reach,weight,octagon_debut,alternate_slug_names,official_url_identity_valid,official_url_identity_status,official_url_identity_reason,ufcstats_name,ufcstats_url,ufcstats_resolution,combat_sport,combat_sport_reason,combat_sport_profile_url,coverage_eligible
Dustin Stoltzfus,https://www.ufc.com/athlete/dustin-stoltzfus,,Middleweight,16-8-0 (W-L-D),dustin stoltzfus,Dustin Stoltzfus,https://www.ufc.com/athlete/dustin-stoltzfus,Middleweight Division,16-8-0 (W-L-D),Active,,"Lancaster, United States",33,72.00 in,75.00 in,185.50,"Nov. 21, 2020",dustin stoltzfus,True,valid,,Dustin Stoltzfus,http://ufcstats.com/fighter-details/71505842fb6455c3,ufc_fighter_details,mma,ufcstats_profile_match,,True
Duško Todorović,https://www.ufc.com/athlete/dusko-todorovic,"""Thunder""",Middleweight,13-6-0 (W-L-D),dusko todorovic,Duško Todorović,https://www.ufc.com/athlete/dusko-todorovic,Middleweight Division,13-6-0 (W-L-D),Active,,"Kotor, Montenegro",31,73.00 in,74.00 in,186.00,"Aug. 27, 2019",dusko todorovic,True,valid,,Dusko Todorovic,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Dylan Salvador,https://www.ufc.com/athlete/dylan-salvador,,Lightweight,0-1-0 (W-L-D),dylan salvador,Dylan Salvador,https://www.ufc.com/athlete/dylan-salvador,Lightweight Division,0-1-0 (W-L-D),Active,,,30,,,,"Jul. 21, 2026",dylan salvador|dilan salvador,True,valid,,Dylan Salvador,http://ufcstats.com/fighter-details/a7a3fb5f6c67b122,ufc_fighter_details,mma,ufcstats_profile_match,,True
Edgar Chairez,https://www.ufc.com/athlete/edgar-chairez,"""Puro Chicali""",Flyweight,14-6-0 (W-L-D),edgar chairez,Edgar Chairez,https://www.ufc.com/athlete/edgar-chairez,Flyweight Division,14-6-0 (W-L-D),Active,,"Baja California, Mexico",30,67.00 in,71.00 in,126.00,"Jul. 8, 2023",edgar chairez,True,valid,,Edgar Chairez,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,ufc_fighter_details,mma,ufcstats_profile_match,,True
Edivan Santos,https://www.ufc.com/athlete/edivan-santos,,Heavyweight,0-1-0 (W-L-D),edivan santos,Edivan Santos,https://www.ufc.com/athlete/edivan-santos,Heavyweight Division,0-1-0 (W-L-D),Active,,"Sao Luiz, Brazil",31,76.00 in,78.00 in,234.00,"Jul. 21, 2026",edivan santos,True,valid,,Edivan Santos,http://ufcstats.com/fighter-details/78719f6663ad9160,ufc_fighter_details,mma,ufcstats_profile_match,,True
Edmen Shahbazyan,https://www.ufc.com/athlete/edmen-shahbazyan,"""The Golden Boy""",Middleweight,16-6-0 (W-L-D),edmen shahbazyan,Edmen Shahbazyan,https://www.ufc.com/athlete/edmen-shahbazyan,Middleweight Division,16-6-0 (W-L-D),Active,,"Los Angeles, United States",28,74.50 in,74.00 in,185.50,"Nov. 30, 2018",edmen shahbazyan|edmen shakhbazyan,True,valid,,Edmen Shahbazyan,http://ufcstats.com/fighter-details/4144798612ef96e5,ufc_fighter_details,mma,ufcstats_profile_match,,True
Edson Barboza,https://www.ufc.com/athlete/edson-barboza,"""Junior""",Lightweight,24-14-0 (W-L-D),edson barboza,Edson Barboza,https://www.ufc.com/athlete/edson-barboza,Lightweight Division,24-14-0 (W-L-D),Active,,"Nova Friburgo, Brazil",39,71.00 in,75.00 in,155.50,"Nov. 21, 2010",edson barboza|edson barbosa,True,valid,,Edson Barboza,http://ufcstats.com/fighter-details/64a50dad704d1d49,ufc_fighter_details,mma,ufcstats_profile_match,,True
Eduarda Moura,https://www.ufc.com/athlete/eduarda-moura,"""Ronda""",Women's Flyweight,12-2-0 (W-L-D),eduarda moura,Eduarda Moura,https://www.ufc.com/athlete/eduarda-moura,Women's Flyweight Division,12-2-0 (W-L-D),Active,,"Riachuelo, Brazil",32,66.00 in,67.00 in,126.00,"Nov. 4, 2023",eduarda moura,True,valid,,Eduarda Moura,http://ufcstats.com/fighter-details/de594b35c45c2e9a,ufc_fighter_details,mma,ufcstats_profile_match,,True
Eduardo Matias Torres,https://www.ufc.com/athlete/eduardo-matias-torres,,Bantamweight,0-1-0 (W-L-D),eduardo matias torres,Eduardo Matias Torres,https://www.ufc.com/athlete/eduardo-matias-torres,Bantamweight Division,0-1-0 (W-L-D),Active,,Chile,,,,,"Jul. 21, 2026",eduardo matias torres,True,valid,,,,,mma,,,True
Eduardo Neves,https://www.ufc.com/athlete/eduardo-neves,,Heavyweight,0-2-0 (W-L-D),eduardo neves,Eduardo Neves,https://www.ufc.com/athlete/eduardo-neves,Heavyweight Division,0-2-0 (W-L-D),Active,Dana White's Contender Series,,23,,,265.00,"Jul. 21, 2026",eduardo neves,True,valid,,Eduardo Neves,http://ufcstats.com/fighter-details/1d688fa375d9431c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Eli Aronov,https://www.ufc.com/athlete/eli-aronov,,Middleweight,0-1-0 (W-L-D),eli aronov,Eli Aronov,https://www.ufc.com/athlete/eli-aronov,Middleweight Division,0-1-0 (W-L-D),Active,,Israel,27,,,,"Jul. 21, 2026",eli aronov,True,valid,,Eli Aronov,http://ufcstats.com/fighter-details/a90c200c3fbb22c4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Elias Urbina,https://www.ufc.com/athlete/elias-urbina,,Middleweight,3-1-0 (W-L-D),elias urbina,Elias Urbina,https://www.ufc.com/athlete/elias-urbina,Middleweight Division,3-1-0 (W-L-D),Active,,United States,29,0.00 in,,185.80,"Aug. 29, 2017",elias urbina|elayas urbina,True,valid,,Elias Urbina,http://ufcstats.com/fighter-details/47fcdcaccb58ca80,ufc_fighter_details,mma,ufcstats_profile_match,,True
Elijah Smith,https://www.ufc.com/athlete/elijah-smith,"""Swift""",Bantamweight,10-1-0 (W-L-D),elijah smith,Elijah Smith,https://www.ufc.com/athlete/elijah-smith,Bantamweight Division,10-1-0 (W-L-D),Active,,United States,23,69.00 in,71.00 in,136.00,"Feb. 15, 2025",elijah smith,True,valid,,Elijah Smith,http://ufcstats.com/fighter-details/7478b7f959ba61f5,ufc_fighter_details,mma,ufcstats_profile_match,,True
Elise Reed,https://www.ufc.com/athlete/elise-reed,,Women's Strawweight,8-5-0 (W-L-D),elise reed,Elise Reed,https://www.ufc.com/athlete/elise-reed,Women's Strawweight Division,8-5-0 (W-L-D),Active,,"Sacramento, United States",32,63.00 in,63.00 in,115.00,"Jul. 24, 2021",elise reed,True,valid,,Elise Reed,http://ufcstats.com/fighter-details/ac7c765882f2c68c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Elisha Ellison,https://www.ufc.com/athlete/elisha-ellison,"""The Snack Panther""",Heavyweight,5-3-0 (W-L-D),elisha ellison,Elisha Ellison,https://www.ufc.com/athlete/elisha-ellison,Heavyweight Division,5-3-0 (W-L-D),Active,,"Seattle, United States",29,72.00 in,78.00 in,236.50,"Sep. 27, 2025",elisha ellison|elaysha ellison,True,valid,,Elisha Ellison,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce,ufc_fighter_details,mma,ufcstats_profile_match,,True
Elves Brener,https://www.ufc.com/athlete/elves-brener,,Lightweight,16-6-0 (W-L-D),elves brener,Elves Brener,https://www.ufc.com/athlete/elves-brener,Lightweight Division,16-6-0 (W-L-D),Active,,"Maués, Brazil",27,70.00 in,72.50 in,155.50,"Feb. 11, 2023",elves brener|elves brenner,True,valid,,Elves Brener,http://ufcstats.com/fighter-details/48a9a128784d53d1,ufc_fighter_details,mma,ufcstats_profile_match,,True
Emilio Cuellar,https://www.ufc.com/athlete/emilio-cuellar,,Flyweight,0-0-0 (W-L-D),emilio cuellar,Emilio Cuellar,https://www.ufc.com/athlete/emilio-cuellar,Flyweight Division,0-0-0 (W-L-D),Active,,,,,,,"Jul. 21, 2026",emilio cuellar,True,valid,,Emilio Cuellar,http://ufcstats.com/fighter-details/3aeb69b4a13ff0e8,ufc_fighter_details,mma,ufcstats_profile_match,,True
Emily Ducote,https://www.ufc.com/athlete/emily-ducote,"""Gordinha""",Women's Strawweight,13-9-0 (W-L-D),emily ducote,Emily Ducote,https://www.ufc.com/athlete/emily-ducote,Women's Strawweight Division,13-9-0 (W-L-D),,,"San Jose, United States",30,62.00 in,63.00 in,119.50,"Jul. 16, 2022",emily ducote,True,valid,,Emily Ducote,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Emrah Sonmez,https://www.ufc.com/athlete/emrah-sonmez,,Featherweight,0-1-0 (W-L-D),emrah sonmez,Emrah Sonmez,https://www.ufc.com/athlete/emrah-sonmez,Featherweight Division,0-1-0 (W-L-D),Active,,Türkiye,30,,,,"Jul. 21, 2026",emrah sonmez,True,valid,,Emrah Sonmez,http://ufcstats.com/fighter-details/fe759b24e344d7eb,ufc_fighter_details,mma,ufcstats_profile_match,,True
Eperaim Ginting,https://www.ufc.com/athlete/eperaim-ginting,,Bantamweight,0-1-0 (W-L-D),eperaim ginting,Eperaim Ginting,https://www.ufc.com/athlete/eperaim-ginting,Bantamweight Division,0-1-0 (W-L-D),Active,,"Berastagi, Indonesia",27,,,134.50,"Jul. 21, 2026",eperaim ginting,True,valid,,Eperaim Ginting,http://ufcstats.com/fighter-details/bad8ed7d714f1493,ufc_fighter_details,mma,ufcstats_profile_match,,True
Eric McConico,https://www.ufc.com/athlete/eric-mcconico,,Middleweight,11-4-1 (W-L-D),eric mcconico,Eric McConico,https://www.ufc.com/athlete/eric-mcconico,Middleweight Division,11-4-1 (W-L-D),Active,,"Los Angeles, United States",35,72.00 in,77.00 in,185.60,"Feb. 22, 2025",eric mcconico,True,valid,,Eric McConico,http://ufcstats.com/fighter-details/9508cc6184cb2450,ufc_fighter_details,mma,ufcstats_profile_match,,True
Eric Nolan,https://www.ufc.com/athlete/eric-nolan,"""Nightime""",Welterweight,8-5-0 (W-L-D),eric nolan,Eric Nolan,https://www.ufc.com/athlete/eric-nolan,Welterweight Division,8-5-0 (W-L-D),Active,,"Edison, United States",28,74.00 in,74.00 in,183.00,"Aug. 16, 2025",eric nolan|erik nolan,True,valid,,Eric Nolan,http://ufcstats.com/fighter-details/64b12fe31be7560c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Erin Blanchfield,https://www.ufc.com/athlete/erin-blanchfield,"""Cold Blooded""",Women's Flyweight,14-2-0 (W-L-D),erin blanchfield,Erin Blanchfield,https://www.ufc.com/athlete/erin-blanchfield,Women's Flyweight Division,14-2-0 (W-L-D),Active,#8 PFP,United States,27,64.00 in,66.00 in,125.80,"Sep. 18, 2021",erin blanchfield,True,valid,,Erin Blanchfield,http://ufcstats.com/fighter-details/669970f7feba8ecd,ufc_fighter_details,mma,ufcstats_profile_match,,True
Erisson Ferreira,https://www.ufc.com/athlete/erisson-ferreira-da-silva,,Flyweight,1-1-0 (W-L-D),,Erisson Ferreira,https://www.ufc.com/athlete/erisson-ferreira-da-silva,Flyweight Division,1-1-0 (W-L-D),Active,Dana White's Contender Series,,32,66.00 in,70.00 in,125.50,"Jul. 21, 2026",,True,slug_mismatch_profile_valid,slug_name_mismatch:erisson ferreira da silva,Erisson Ferreira,http://ufcstats.com/fighter-details/1c2a8915f8431507,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ernesta Kareckaitė,https://www.ufc.com/athlete/ernesta-kareckaite,"""Heavy-Handed""",Women's Flyweight,6-2-1 (W-L-D),ernesta kareckaite,Ernesta Kareckaitė,https://www.ufc.com/athlete/ernesta-kareckaite,Women's Flyweight Division,6-2-1 (W-L-D),Active,,"Kaunas, Lithuania",27,69.00 in,71.00 in,126.00,"May. 4, 2024",ernesta kareckaite,True,valid,,Ernesta Kareckaite,http://ufcstats.com/fighter-details/e4faa79383c9f214,ufc_fighter_details,mma,ufcstats_profile_match,,True
Esteban Ribovics,https://www.ufc.com/athlete/esteban-ribovics,"""El Gringo""",Lightweight,15-3-0 (W-L-D),esteban ribovics,Esteban Ribovics,https://www.ufc.com/athlete/esteban-ribovics,Lightweight Division,15-3-0 (W-L-D),Active,,"Tartagal, Argentina",29,70.00 in,69.00 in,155.50,"Mar. 4, 2023",esteban ribovics|esteban ribovich,True,valid,,Esteban Ribovics,http://ufcstats.com/fighter-details/323d4ca260dfa0ba,ufc_fighter_details,mma,ufcstats_profile_match,,True
Estefani Almeida,https://www.ufc.com/athlete/estefani-almeida,,Women's Flyweight,0-0-0 (W-L-D),estefani almeida,Estefani Almeida,https://www.ufc.com/athlete/estefani-almeida,Women's Flyweight Division,0-0-0 (W-L-D),Active,,"Manaus, Brazil",34,64.00 in,,126.00,"Jul. 21, 2026",estefani almeida,True,valid,,Estefani Almeida,http://ufcstats.com/fighter-details/f16ddfa31236efed,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ethyn Ewing,https://www.ufc.com/athlete/ethyn-ewing,"""The Professor Finesser""",Bantamweight,10-2-0 (W-L-D),ethyn ewing,Ethyn Ewing,https://www.ufc.com/athlete/ethyn-ewing,Bantamweight Division,10-2-0 (W-L-D),Active,,"Fountain Valley, United States",28,66.50 in,69.50 in,145.20,"Nov. 15, 2025",ethyn ewing,True,valid,,Ethyn Ewing,http://ufcstats.com/fighter-details/d776b5814f2400b4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Evan Elder,https://www.ufc.com/athlete/evan-elder,"""The Phenom """,Lightweight,10-2-0 (W-L-D),evan elder,Evan Elder,https://www.ufc.com/athlete/evan-elder,Lightweight Division,10-2-0 (W-L-D),Active,,"St. Louis, United States",28,70.00 in,72.00 in,156.00,"Apr. 23, 2022",evan elder,True,valid,,Evan Elder,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Evan Sweesy,https://www.ufc.com/athlete/evan-sweesy,"""Showtime Swees""",Light Heavyweight,0-0-0 (W-L-D),evan sweesy,Evan Sweesy,https://www.ufc.com/athlete/evan-sweesy,Light Heavyweight Division,,Active,,,,,,,"Jul. 21, 2026",evan sweesy|evan svisay,True,valid,,,,,mma,,,True
Ezra Elliot,https://www.ufc.com/athlete/ezra-elliot,,Featherweight,8-0-0 (W-L-D),ezra elliot,Ezra Elliot,https://www.ufc.com/athlete/ezra-elliot,Featherweight Division,8-0-0 (W-L-D),Active,,"Hoopeston, United States",26,69.00 in,72.00 in,145.00,"Jul. 18, 2026",ezra elliot,True,valid,,Ezra Elliott,http://ufcstats.com/fighter-details/b852ad2b35354fcb,live_search,mma,ufcstats_profile_match,,True
Fabio Agu,https://www.ufc.com/athlete/fabio-agu,,Middleweight,0-0-0 (W-L-D),fabio agu,Fabio Agu,https://www.ufc.com/athlete/fabio-agu,Middleweight Division,0-0-0 (W-L-D),Active,,,35,,,,"Jul. 21, 2026",fabio agu,True,valid,,,,,mma,,,True
Fabiola Pidroni,https://www.ufc.com/athlete/fabiola-pidroni,,Women's Strawweight,0-0-0 (W-L-D),fabiola pidroni,Fabiola Pidroni,https://www.ufc.com/athlete/fabiola-pidroni,Women's Strawweight Division,0-0-0 (W-L-D),Active,,,29,,,,"Jul. 21, 2026",fabiola pidroni,True,valid,,Fabiola Pidroni,http://ufcstats.com/fighter-details/9561eb5f0d63ffcc,ufc_fighter_details,mma,ufcstats_profile_match,,True
Farid Basharat,https://www.ufc.com/athlete/farid-basharat,"""Ferocious""",Bantamweight,16-0-0 (W-L-D),farid basharat,Farid Basharat,https://www.ufc.com/athlete/farid-basharat,Bantamweight Division,16-0-0 (W-L-D),Active,,"Paktia, Afghanistan",28,68.00 in,71.00 in,136.00,"Mar. 4, 2023",farid basharat,True,valid,,Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,ufc_fighter_details,mma,ufcstats_profile_match,,True
Farman Hasanov,https://www.ufc.com/athlete/farman-hasanov,"""The Lion""",Welterweight,6-0-0 (W-L-D),farman hasanov,Farman Hasanov,https://www.ufc.com/athlete/farman-hasanov,Welterweight Division,6-0-0 (W-L-D),Active,,Azerbaijan,30,72.00 in,,170.00,"Jun. 27, 2026",farman hasanov|farman khasanov,True,valid,,Farman Hasanov,http://ufcstats.com/fighter-details/c88f8a9c1ea7165d,ufc_fighters_scraped,mma,ufcstats_profile_match,,True
Farès Ziam,https://www.ufc.com/athlete/fares-ziam,"""Smile Killer""",Lightweight,18-5-0 (W-L-D),fares ziam,Farès Ziam,https://www.ufc.com/athlete/fares-ziam,Lightweight Division,18-5-0 (W-L-D),Active,,"Vénissieux, Auvergne-Rhône-Alpes, France",29,73.00 in,75.00 in,156.00,"Sep. 7, 2019",fares ziam,True,valid,,Fares Ziam,http://ufcstats.com/fighter-details/1e4f273069fb9e85,ufc_fighter_details,mma,ufcstats_profile_match,,True
Fatima Kline,https://www.ufc.com/athlete/fatima-kline,"""The Archangel""",Women's Strawweight,10-1-0 (W-L-D),fatima kline,Fatima Kline,https://www.ufc.com/athlete/fatima-kline,Women's Strawweight Division,10-1-0 (W-L-D),Active,,"Holbrook, United States",26,66.00 in,67.00 in,115.40,"Jul. 13, 2024",fatima kline,True,valid,,Fatima Kline,http://ufcstats.com/fighter-details/745fa7b605f8e2da,ufc_fighter_details,mma,ufcstats_profile_match,,True
Felipe Franco,https://www.ufc.com/athlete/felipe-franco,"""Negão""",Light Heavyweight,11-2-0 (W-L-D),felipe franco,Felipe Franco,https://www.ufc.com/athlete/felipe-franco,Light Heavyweight Division,11-2-0 (W-L-D),Active,,"Salvador, Brazil",25,73.00 in,,204.00,"Mar. 21, 2026",felipe franco|felipe franko,True,valid,,Felipe Franco,http://ufcstats.com/fighter-details/e564146b9cf6dbef,ufc_fighter_details,mma,ufcstats_profile_match,,True
Felipe Lima,https://www.ufc.com/athlete/felipe-lima,"""Jungle Boy""",Bantamweight,14-2-0 (W-L-D),felipe lima,Felipe Lima,https://www.ufc.com/athlete/felipe-lima,Bantamweight Division,14-2-0 (W-L-D),Active,,"Coari, Brazil",27,66.00 in,68.00 in,135.50,"Jun. 22, 2024",felipe lima,True,valid,,Felipe Lima,http://ufcstats.com/fighter-details/9256f591b30c073e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Felix Klinkhammer,https://www.ufc.com/athlete/felix-klinkhammer,,Welterweight,0-0-0 (W-L-D),felix klinkhammer,Felix Klinkhammer,https://www.ufc.com/athlete/felix-klinkhammer,Welterweight Division,0-0-0 (W-L-D),Active,,"Neuss, Germany",30,,,,"Jul. 21, 2026",felix klinkhammer,True,valid,,Felix Klinkhammer,http://ufcstats.com/fighter-details/8276f28f1ad087de,ufc_fighter_details,mma,ufcstats_profile_match,,True
Feng Pengchao,https://www.ufc.com/athlete/feng-pengchao,,Featherweight,0-0-0 (W-L-D),feng pengchao,Feng Pengchao,https://www.ufc.com/athlete/feng-pengchao,Featherweight Division,0-0-0 (W-L-D),Active,,"Hebei, China",23,,,146.00,"Jul. 21, 2026",feng pengchao,True,valid,,Feng Pengchao,http://ufcstats.com/fighter-details/86597694317e5e1b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Fernando Padilla,https://www.ufc.com/athlete/fernando-padilla,"""El Valiente""",Featherweight,16-6-0 (W-L-D),fernando padilla,Fernando Padilla,https://www.ufc.com/athlete/fernando-padilla,Featherweight Division,16-6-0 (W-L-D),Active,,"Chihuahua, Mexico",28,73.00 in,76.00 in,145.50,"Apr. 29, 2023",fernando padilla,True,valid,,Fernando Padilla,http://ufcstats.com/fighter-details/d2f43cfaf8ca3560,ufc_fighter_details,mma,ufcstats_profile_match,,True
Fernie Garcia,https://www.ufc.com/athlete/fernie-garcia,,Bantamweight,10-5-0 (W-L-D),fernie garcia,Fernie Garcia,https://www.ufc.com/athlete/fernie-garcia,Bantamweight Division,10-5-0 (W-L-D),Active,,United States,31,67.00 in,67.00 in,151.00,"May. 7, 2022",fernie garcia,True,valid,,Fernie Garcia,http://ufcstats.com/fighter-details/9e92e1ca498d7244,ufc_fighter_details,mma,ufcstats_profile_match,,True
Francis Marshall,https://www.ufc.com/athlete/francis-marshall,"""Fire""",Lightweight,10-3-0 (W-L-D),francis marshall,Francis Marshall,https://www.ufc.com/athlete/francis-marshall,Lightweight Division,10-3-0 (W-L-D),Active,,"Brick Township, United States",27,69.00 in,72.00 in,146.00,"Dec. 3, 2022",francis marshall,True,valid,,Francis Marshall,http://ufcstats.com/fighter-details/5d495dec23d7c68e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Francisco Prado,https://www.ufc.com/athlete/francisco-prado,,Welterweight,12-5-0 (W-L-D),francisco prado,Francisco Prado,https://www.ufc.com/athlete/francisco-prado,Welterweight Division,12-5-0 (W-L-D),Active,,"San Lorenzo , Argentina",23,70.00 in,69.00 in,170.00,"Feb. 11, 2023",francisco prado|fransisko prado,True,valid,,Francisco Prado,http://ufcstats.com/fighter-details/3920d0cc288f9b0d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Frank Holland,https://www.ufc.com/athlete/frank-holland,"""The Tank""",Heavyweight,0-0-0 (W-L-D),frank holland,Frank Holland,https://www.ufc.com/athlete/frank-holland,Heavyweight Division,,Active,,,34,69.00 in,70.00 in,250.50,"Jul. 21, 2026",frank holland,True,valid,,,,,mma,,,True
Frankie Saenz,https://www.ufc.com/athlete/frankie-saenz,,Bantamweight,13-7-0 (W-L-D),frankie saenz,Frankie Saenz,https://www.ufc.com/athlete/frankie-saenz,Bantamweight Division,13-7-0 (W-L-D),Active,,"Phoenix, United States",42,66.00 in,66.00 in,136.00,"Aug. 16, 2014",frankie saenz|frenki saenz,True,valid,,Frankie Saenz,http://ufcstats.com/fighter-details/9ba2226646046b63,ufc_fighter_details,mma,ufcstats_profile_match,,True
Freddy Emiliano Linares,https://www.ufc.com/athlete/freddy-emiliano-linares,,Featherweight,0-1-0 (W-L-D),freddy emiliano linares,Freddy Emiliano Linares,https://www.ufc.com/athlete/freddy-emiliano-linares,Featherweight Division,0-1-0 (W-L-D),Active,,"Guayas, Ecuador",26,,,144.50,"Jul. 21, 2026",freddy emiliano linares,True,valid,,,,,mma,,,True
Gabe Green,https://www.ufc.com/athlete/gabe-green,"""Gifted""",Lightweight,12-5-0 (W-L-D),gabe green,Gabe Green,https://www.ufc.com/athlete/gabe-green,Lightweight Division,12-5-0 (W-L-D),Active,,"Los Angeles, United States",32,70.00 in,73.00 in,154.50,"May. 30, 2020",gabe green|gabriel green,True,valid,,Gabe Green,http://ufcstats.com/fighter-details/5eb50529a8418b77,ufc_fighter_details,mma,ufcstats_profile_match,,True
Gable Steveson,https://www.ufc.com/athlete/gable-steveson,,Heavyweight,4-0-0 (W-L-D),gable steveson,Gable Steveson,https://www.ufc.com/athlete/gable-steveson,Heavyweight Division,4-0-0 (W-L-D),Active,,"Minneapolis, United States",26,,,73.00,"Jul. 11, 2026",gable steveson,True,valid,,Gable Steveson,http://ufcstats.com/fighter-details/f7e856a73c96048e,ufc_fighters_scraped,mma,ufcstats_profile_match,,True
Gabriel Bonfim,https://www.ufc.com/athlete/gabriel-bonfim,"""Marretinha""",Welterweight,20-1-0 (W-L-D),gabriel bonfim,Gabriel Bonfim,https://www.ufc.com/athlete/gabriel-bonfim,Welterweight Division,20-1-0 (W-L-D),Active,,"Brasilia, Brazil",28,73.00 in,72.50 in,170.50,"Jan. 21, 2023",gabriel bonfim,True,valid,,Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Gabriel Santos,https://www.ufc.com/athlete/gabriel-santos,"""Mosquitinho""",Featherweight,12-2-0 (W-L-D),gabriel santos,Gabriel Santos,https://www.ufc.com/athlete/gabriel-santos,Featherweight Division,12-2-0 (W-L-D),Active,,"State of Ceará, Brazil",28,69.00 in,70.00 in,145.50,"Mar. 18, 2023",gabriel santos,True,valid,,Gabriel Santos,http://ufcstats.com/fighter-details/f2f140ce7532e327,ufc_fighter_details,mma,ufcstats_profile_match,,True
Gabriella Fernandes,https://www.ufc.com/athlete/gabriella-fernandes,"""Gabi""",Women's Flyweight,11-4-0 (W-L-D),gabriella fernandes,Gabriella Fernandes,https://www.ufc.com/athlete/gabriella-fernandes,Women's Flyweight Division,11-4-0 (W-L-D),Active,,"São Gonçalo, Brazil",32,66.00 in,66.00 in,125.50,"Feb. 25, 2023",gabriella fernandes,True,valid,,Gabriella Fernandes,http://ufcstats.com/fighter-details/a6eb54ae17a551be,ufc_fighter_details,mma,ufcstats_profile_match,,True
Garrett Armfield,https://www.ufc.com/athlete/garrett-armfield,,Bantamweight,10-5-0 (W-L-D),garrett armfield,Garrett Armfield,https://www.ufc.com/athlete/garrett-armfield,Bantamweight Division,10-5-0 (W-L-D),Active,,"Eureka, United States",28,66.00 in,70.00 in,135.00,"Jul. 9, 2022",garrett armfield,True,valid,,Garrett Armfield,http://ufcstats.com/fighter-details/1effd880e1f1bb30,ufc_fighter_details,mma,ufcstats_profile_match,,True
Garrett Grimes,https://www.ufc.com/athlete/garrett-grimes,,Middleweight,0-0-0 (W-L-D),garrett grimes,Garrett Grimes,https://www.ufc.com/athlete/garrett-grimes,Middleweight Division,,Active,,,29,,,185.50,"Jul. 21, 2026",garrett grimes,True,valid,,,,,mma,,,True
Garrett Gross,https://www.ufc.com/athlete/garrett-gross,"""Glory to God""",Lightweight,11-8-0 (W-L-D),garrett gross,Garrett Gross,https://www.ufc.com/athlete/garrett-gross,Lightweight Division,11-8-0 (W-L-D),Active,,"Du Quoin, United States",34,69.00 in,69.00 in,155.50,"Jul. 21, 2026",garrett gross,True,valid,,Garrett Gross,http://ufcstats.com/fighter-details/6741218640534d8b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Gaston Bolanos,https://www.ufc.com/athlete/gaston-bolanos,"""DreamKiller""",Featherweight,9-5-0 (W-L-D),gaston bolanos,Gaston Bolanos,https://www.ufc.com/athlete/gaston-bolanos,Featherweight Division,9-5-0 (W-L-D),Active,,"Lima, Peru",33,67.00 in,69.00 in,135.50,"Apr. 15, 2023",gaston bolanos,True,valid,,Gaston Bolanos,http://ufcstats.com/fighter-details/96924b0019b3aff1,ufc_fighter_details,mma,ufcstats_profile_match,,True
Gauge Young,https://www.ufc.com/athlete/gauge-young,"""Gee Money""",Lightweight,11-3-0 (W-L-D),gauge young,Gauge Young,https://www.ufc.com/athlete/gauge-young,Lightweight Division,11-3-0 (W-L-D),Active,,"Sedalia, United States",25,69.00 in,70.00 in,155.00,"Apr. 26, 2025",gauge young,True,valid,,Gauge Young,http://ufcstats.com/fighter-details/b2a78df161bd67f9,ufc_fighter_details,mma,ufcstats_profile_match,,True
Geoff Neal,https://www.ufc.com/athlete/geoff-neal,"""Handz of Steel""",Welterweight,16-8-0 (W-L-D),geoff neal,Geoff Neal,https://www.ufc.com/athlete/geoff-neal,Welterweight Division,16-8-0 (W-L-D),Active,,"Austin, United States",35,71.00 in,75.00 in,171.00,"Feb. 18, 2018",geoff neal,True,valid,,Geoff Neal,http://ufcstats.com/fighter-details/b997be68943010fc,ufc_fighter_details,mma,ufcstats_profile_match,,True
George Hardwick,https://www.ufc.com/athlete/george-hardwick,,Lightweight,0-1-0 (W-L-D),george hardwick,George Hardwick,https://www.ufc.com/athlete/george-hardwick,Lightweight Division,0-1-0 (W-L-D),Active,,"Middlesbrough, United Kingdom",26,,,,"Jul. 21, 2026",george hardwick,True,valid,,George Hardwick,http://ufcstats.com/fighter-details/f55a6807b6bb853d,ufc_fighter_details,mma,ufcstats_profile_match,,True
