event_name,event_date
ufc 44: undisputed,2003-09-26
ufc 45: revolution,2003-11-21
ufc 46: supernatural,2004-01-31
ufc 47: it's on!,2004-04-02
ufc 48: payback,2004-06-19
ufc 49: unfinished business,2004-08-21
ufc 4: revenge of the warriors,1994-12-16
ufc 50: the war of '04,2004-10-22
ufc 51: super saturday,2005-02-05
ufc 52: couture vs liddell 2,2005-04-16
ufc 53: heavy hitters,2005-06-04
ufc 54: boiling point,2005-08-20
ufc 55: fury,2005-10-07
ufc 56: full force,2005-11-19
ufc 57: liddell vs couture 3,2006-02-04
ufc 58: usa vs canada,2006-03-04
ufc 59: reality check,2006-04-15
ufc 5: the return of the beast,1995-04-07
ufc 60: hughes vs gracie,2006-05-27
ufc 61: bitter rivals,2006-07-08
ufc 62: liddell vs sobral,2006-08-26
ufc 63: hughes vs penn,2006-09-23
ufc 64: unstoppable,2006-10-14
ufc 65: bad intentions,2006-11-18
ufc 66: liddell vs ortiz 2,2006-12-30
ufc 67: all or nothing,2007-02-03
ufc 68: the uprising,2007-03-03
ufc 69: shootout,2007-04-07
ufc 6: clash of the titans,1995-07-14
ufc 70: nations collide,2007-04-21
ufc 71: liddell vs jackson,2007-05-26
ufc 72: victory,2007-06-16
ufc 73: stacked,2007-07-07
ufc 74: respect,2007-08-25
ufc 75: champion vs champion,2007-09-08
ufc 76: knockout,2007-09-22
ufc 77: hostile territory,2007-10-20
ufc 78: validation,2007-11-17
ufc 79: nemesis,2007-12-29
ufc 7: the brawl in buffalo,1995-09-08
ufc 80: rapid fire,2008-01-19
ufc 81: breaking point,2008-02-02
ufc 82: pride of a champion,2008-03-01
ufc 83: serra vs st-pierre 2,2008-04-19
ufc 84: ill will,2008-05-24
ufc 85: bedlam,2008-06-07
ufc 86: jackson vs griffin,2008-07-05
ufc 87: seek and destroy,2008-08-09
ufc 88: breakthrough,2008-09-06
ufc 89: bisping vs leben,2008-10-18
ufc 8: david vs goliath,1996-02-16
ufc 90: silva vs cote,2008-10-25
ufc 91: couture vs lesnar,2008-11-15
ufc 92: the ultimate 2008,2008-12-27
ufc 93: franklin vs henderson,2009-01-17
ufc 94: st-pierre vs penn 2,2009-01-31
ufc 95: sanchez vs stevenson,2009-02-21
ufc 96: jackson vs jardine,2009-03-07
ufc 97: redemption,2009-04-18
ufc 98: evans vs machida,2009-05-23
ufc 99: the comeback,2009-06-13
ufc 9: motor city madness,1996-05-17
ufc fight night - fight for the troops,2008-12-10
ufc fight night 1,2005-08-06
ufc fight night 2,2005-10-03
ufc fight night 3,2006-01-16
ufc fight night 4,2006-04-06
ufc fight night 5,2006-06-28
ufc fight night 56: shogun vs saint preux,2014-11-08
ufc fight night 6,2006-08-17
ufc fight night: adesanya vs. imavov,2025-02-01
ufc fight night: allen vs. craig,2023-11-18
ufc fight night: allen vs. curtis 2,2024-04-06
ufc fight night: almeida vs garbrandt,2016-05-29
ufc fight night: almeida vs. lewis,2023-11-04
ufc fight night: alvarez vs. poirier 2,2018-07-28
ufc fight night: anderson vs. blachowicz,2020-02-15
ufc fight night: andrade vs. blanchfield,2023-02-18
ufc fight night: andrade vs. zhang,2019-08-31
ufc fight night: ankalaev vs. walker 2,2024-01-13
ufc fight night: arlovski vs. barnett,2016-09-03
ufc fight night: aspinall vs. tybura,2023-07-22
ufc fight night: assuncao vs. moraes 2,2019-02-02
ufc fight night: bader vs saint preux,2014-08-16
ufc fight night: bader vs. nogueira,2016-11-19
ufc fight night: barboza vs. chikadze,2021-08-28
ufc fight night: barboza vs. gaethje,2019-03-30
ufc fight night: barboza vs. lee,2018-04-21
ufc fight night: barboza vs. murphy,2024-05-18
ufc fight night: barnett vs nelson,2015-09-26
ufc fight night: bautista vs. oliveira,2026-02-07
ufc fight night: belfort vs henderson 2,2013-11-09
ufc fight night: belfort vs henderson 3,2015-11-07
ufc fight night: belfort vs. gastelum,2017-03-11
ufc fight night: benavidez vs. figueiredo,2020-02-29
