event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2012-08-25,Bobby Moffett,Adrian Ortega,Bobby Moffett,SUB,,,,1,tapology,Illinois Regional,,,,,,,,,,,,,,,,
2007-03-10,Cameron Dollar,Brett Tillis,Brett Tillis,SUB,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2007-04-14,Cameron Dollar,JT Hudson,Cameron Dollar,SUB,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2007-05-04,Cameron Dollar,Eric Fagyas,Eric Fagyas,KO/TKO,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2006-12-02,Cameron Dollar,Mike Aragon,Cameron Dollar,KO/TKO,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2001-06-01,Benji Radach,Dennis Asche,Benji Radach,U-DEC,,,,0,tapology,High Desert Brawl,,,,,,,,,,,,,,,,
2007-11-17,Al Iaquinta,Will Martinez Jr.,Al Iaquinta,U-DEC,,,,1,tapology,Delaware Regional,,,,,,,,,,,,,,,,
2007-07-21,Al Iaquinta,Ryan Kenvin,Al Iaquinta,KO/TKO,,,,0,tapology,Delaware Regional,,,,,,,,,,,,,,,,
2013-11-02,Blake Bilder,Douglas Deback,Blake Bilder,U-DEC,,,,0,tapology,Downtown Showdown,,,,,,,,,,,,,,,,
2016-12-17,Juan Adams,James Hatcher,Juan Adams,KO/TKO,1.0,,,0,sherdog,Garcia Promotions,,,,,,,,,,,,,,,,
2015-05-30,Rizvan Kuniev,Amirkhan Isagadzhiev,Rizvan Kuniev,U-DEC,3.0,3.0,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2015-04-13,Da Woon Jung,Jae Hyuk Heo,Da Woon Jung,S-DEC,,,,0,tapology,Wardog Cage Fight,,,,,,,,,,,,,,,,
2018-05-12,Rizvan Kuniev,Khuseyn Adamov,Rizvan Kuniev,,0.0,,,1,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2013-06-03,Said Nurmagomedov,Abdulmutalib Gairbekov,Said Nurmagomedov,SUB,2.0,,,1,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2015-11-08,Cam Rowston,Shahin Bakhtiyari,Cam Rowston,SUB,2.0,,,0,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
2015-10-25,Magomed Gadzhiyasulov,Nadyr Bulkadarov,Nadyr Bulkadarov,KO/TKO,1.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2015-10-24,Magomed Gadzhiyasulov,Abdul Dalgatov,Magomed Gadzhiyasulov,U-DEC,2.0,2.0,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2011-11-11,Brandon Royval,Scott Ingram,Brandon Royval,SUB,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2015-10-24,Magomed Gadzhiyasulov,Akhmed Lorsanov,Magomed Gadzhiyasulov,U-DEC,2.0,2.0,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2016-01-23,Darian Weeks,Detric Wren,Darian Weeks,U-DEC,,,,0,tapology,All In Promotions,,,,,,,,,,,,,,,,
2009-05-23,Aljamain Sterling,Vincent Morales,Aljamain Sterling,SUB,,,,0,tapology,New York Regional,,,,,,,,,,,,,,,,
2004-07-17,Bristol Marunde,Justin Burgin,Justin Burgin,SUB,,,,0,tapology,High Desert Brawl,,,,,,,,,,,,,,,,
2016-04-02,Darian Weeks,Austin Kadow,Darian Weeks,SUB,1.0,,,0,tapology,All In Promotions,,,,,,,,,,,,,,,,
2006-07-22,Byron Bloodworth,James Wagner,James Wagner,SUB,,,,0,tapology,Virginia Regional,,,,,,,,,,,,,,,,
2009-08-15,Colton Smith,Jarreau Mobley,Colton Smith,SUB,1.0,,,1,tapology,Operation Octagon,,,,,,,,,,,,,,,,
2010-04-23,Damon Jackson,PJ O'Neill,Damon Jackson,SUB,,,,0,tapology,Missouri Regional,,,,,,,,,,,,,,,,
2010-03-13,Brian Houston,Brian Booth,Brian Houston,KO/TKO,,,,0,tapology,Illinois Regional,,,,,,,,,,,,,,,,
2011-04-09,Darrick Minner,Corey Roberts,Darrick Minner,SUB,,,,0,tapology,Nebraska Regional,,,,,,,,,,,,,,,,
2011-06-25,Scott Holtzman,Charlie Alexander,Scott Holtzman,SUB,1.0,,,0,sherdog,Imperial Fighting,,,,,,,,,,,,,,,,
2008-10-11,Barb Honchak,Stefanie Lavender,Barb Honchak,KO/TKO,,,,0,tapology,Illinois Regional,,,,,,,,,,,,,,,,
2009-06-27,Damon Jackson,Ryan Cordova,Damon Jackson,SUB,,,,0,tapology,Missouri Regional,,,,,,,,,,,,,,,,
2011-04-15,Geoff Neal,Jeremy Mier,Geoff Neal,KO/TKO,,,,0,tapology,Oklahoma Regional,,,,,,,,,,,,,,,,
2023-06-11,Donte Johnson,Deonte Moses Jr.,Deonte Moses Jr.,KO/TKO,1.0,,,0,sherdog,Anthony Pettis FC,,,,,,,,,,,,,,,,
2010-06-26,Corey Anderson,Cody Keifer,Corey Anderson,KO/TKO,,,,0,tapology,Downtown Showdown,,,,,,,,,,,,,,,,
2010-06-26,Colton Smith,Chad Malone,Chad Malone,S-DEC,,,,1,tapology,Operation Octagon,,,,,,,,,,,,,,,,
2016-03-12,Cam Rowston,Josh Francis,Cam Rowston,SUB,2.0,,,0,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
