event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2016-09-24,Cristiane Justino,Lina Lansberg,UFC Fight Night: Cyborg vs. Lansberg,wayback_bfo_v2,https://web.archive.org/web/20190822091850/https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167,2019-08-22,0.830508,0.133333,0.086957,0.076923,0.0625,0.045455
2016-11-19,Ryan Bader,Rogerio Nogueira,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.810811,0.1,0.285714,0.171429,0.101695,0.08
2016-11-19,Thomas Almeida,Albert Morales,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.759494,0.126316,0.155039,0.142857,0.098361,0.137931
2016-11-19,Claudia Gadelha,Cortney Casey,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.214286,0.176471,0.556869,0.088235,0.088235,0.137931
2016-11-19,Krzysztof Jotko,Thales Leites,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.151899,0.068182,0.27907,0.136364,0.275229,0.357143
2016-11-19,Kamaru Usman,Warlley Alves,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.122449,0.101695,0.346405,0.121212,0.181818,0.164384
2016-11-19,Sergio Moraes,Zak Ottow,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.142857,0.4,0.25,0.111111,0.166667,0.222222
2016-11-19,Gadzhimurad Antigulov,Marcos Rogerio de Lima,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.2,0.2,0.133333,0.47619,0.133333,0.142857
2016-11-19,Luis Henrique,Christian Colombo,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.333333,0.285714,0.266667,0.222222,0.076923,0.111111
2016-11-19,Pedro Munhoz,Justin Scoggins,UFC Fight Night: Bader vs. Nogueira,wayback_bfo_v2,https://web.archive.org/web/20190720025759/https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185,2019-07-20,0.1,0.111111,0.266667,0.243902,0.125,0.384615
2017-01-15,Nina Nunes,Jocelyn Jones-Lybarger,UFC Fight Night: Rodriguez vs. Penn,wayback_bfo_v2,https://web.archive.org/web/20190824210509/https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219,2019-08-24,0.148148,0.171429,0.292683,0.148148,0.090909,0.333333
2017-02-04,Adam Milstead,Curtis Blaydes,UFC Fight Night: Bermudez vs. The Korean Zombie,wayback_bfo_v2,https://web.archive.org/web/20190919103619/https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226,2019-09-19,0.166667,0.08,0.137931,0.47619,0.133333,0.226501
2017-02-04,Alex Morono,Niko Price,UFC Fight Night: Bermudez vs. The Korean Zombie,wayback_bfo_v2,https://web.archive.org/web/20190919103619/https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226,2019-09-19,0.222222,0.153846,0.240096,0.285714,0.125,0.210526
2017-05-13,Eddie Alvarez,Dustin Poirier,UFC 211: Miocic vs. Dos Santos,wayback_bfo_v2,https://web.archive.org/web/20170711142300/https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252,2017-07-11,0.203046,0.117647,0.285714,0.222222,0.111111,0.268456
2017-06-03,Antonio Carlos Junior,Eric Spicely,UFC 212: Aldo vs. Holloway,wayback_bfo_v2,https://web.archive.org/web/20190717203204/https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257,2019-07-17,0.2,0.275862,0.333333,0.066667,0.153846,0.2
2017-06-03,Deiveson Figueiredo,Marco Beltran,UFC 212: Aldo vs. Holloway,wayback_bfo_v2,https://web.archive.org/web/20190717203204/https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257,2019-07-17,0.25,0.181818,0.25641,0.173913,0.133333,0.243902
2017-06-25,Dominick Reyes,Joachim Christensen,UFC Fight Night: Chiesa vs. Lee,wayback_bfo_v2,https://web.archive.org/web/20190718013824/https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276,2019-07-18,0.470588,0.150943,0.25,0.111111,0.111111,0.142857
2017-06-25,Carla Esparza,Maryna Moroz,UFC Fight Night: Chiesa vs. Lee,wayback_bfo_v2,https://web.archive.org/web/20190718013824/https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276,2019-07-18,0.166667,0.142857,0.555556,0.095238,0.142857,0.166667
2017-07-16,Cynthia Calvillo,Joanne Wood,UFC Fight Night: Nelson vs. Ponzinibbio,wayback_bfo_v2,https://web.archive.org/web/20190822100716/https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293,2019-08-22,0.109091,0.363636,0.290909,0.169014,0.0625,0.209059
2017-07-29,Daniel Cormier,Jon Jones,UFC 214: Cormier vs. Jones 2,wayback_bfo_v2,https://web.archive.org/web/20190717204720/https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303,2019-07-17,0.140351,0.083333,0.195122,0.210526,0.173913,0.454545
2017-07-29,Cristiane Justino,Tonya Evinger,UFC 214: Cormier vs. Jones 2,wayback_bfo_v2,https://web.archive.org/web/20190717204720/https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303,2019-07-17,0.847638,0.11215,0.105263,0.050847,0.069767,0.044118
2017-11-25,Song Yadong,Bharat Kandare,UFC Fight Night: Bisping vs. Gastelum,wayback_bfo_v2,https://web.archive.org/web/20190724084132/https://www.bestfightodds.com/events/ufc-fight-night-122-bisping-vs-gastelum-1363,2019-07-24,0.243902,0.05571,,0.122951,0.151515,0.25
2017-12-01,DeAnna Bennett,Melinda Fabian,The Ultimate Fighter: A New World Champion Finale,wayback_bfo_v2,https://web.archive.org/web/20140703031529/https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-brazil-3-finale-812,2014-07-03,,,,,,0.4
2017-12-02,Tecia Torres,Michelle Waterson-Gomez,UFC 218: Holloway vs. Aldo 2,wayback_bfo_v2,https://web.archive.org/web/20190824095914/https://www.bestfightodds.com/events/ufc-218-holloway-vs-aldo-2-1368,2019-08-24,0.090909,0.105263,0.616858,0.112676,0.133333,0.2
2017-12-30,Cristiane Justino,Holly Holm,UFC 219: Cyborg vs. Holm,wayback_bfo_v2,https://web.archive.org/web/20190720032017/https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387,2019-07-20,0.598394,0.090909,0.235294,0.125,0.047619,0.181818
2017-12-30,Khalil Rountree Jr.,Michal Oleksiejczuk,UFC 219: Cyborg vs. Holm,wayback_bfo_v2,https://web.archive.org/web/20190720032017/https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387,2019-07-20,0.173913,0.153846,0.447761,0.177515,0.08,0.105263
2017-12-30,Marvin Vettori,Omari Akhmedov,UFC 219: Cyborg vs. Holm,wayback_bfo_v2,https://web.archive.org/web/20190720032017/https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387,2019-07-20,0.325203,0.181818,0.307692,0.117647,0.086957,0.222222
2018-03-03,Cristiane Justino,Yana Santos,UFC 222: Cyborg vs. Kunitskaya,wayback_bfo_v2,https://web.archive.org/web/20190824201615/https://www.bestfightodds.com/events/ufc-222-cyborg-vs-kunitskaya-1422,2019-08-24,0.751861,0.170213,0.142857,,,
2018-08-25,Joanne Wood,Kalindra Faria,UFC Fight Night: Gaethje vs. Vick,wayback_bfo_v2,https://web.archive.org/web/20190307162706/https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528,2019-03-07,0.105263,0.0625,0.550562,0.076923,0.125,0.307692
