event_date,fighter_a,fighter_b
2017-03-11,Vitor Belfort,Kelvin Gastelum
2017-05-13,Eddie Alvarez,Dustin Poirier
2017-06-03,Antonio Carlos Junior,Eric Spicely
2017-06-03,Marco Beltran,Deiveson Figueiredo
2017-06-17,Li Jingliang,Frank Camacho
2017-06-25,Carla Esparza,Maryna Moroz
2017-06-25,Joachim Christensen,Dominick Reyes
2017-07-07,Marc Diakiese,Drakkar Klose
2017-07-16,Joanne Wood,Cynthia Calvillo
2017-07-29,Cristiane Justino,Tonya Evinger
2017-07-29,Daniel Cormier,Jon Jones
2017-10-07,Beneil Dariush,Evan Dunham
2017-10-07,Lando Vannata,King Green
2017-11-11,Angela Hill,Nina Nunes
2017-11-25,Song Yadong,Bharat Kandare
2017-12-01,DeAnna Bennett,Melinda Fabian
2017-12-02,Tecia Pennington,Michelle Waterson-Gomez
2017-12-30,Cristiane Justino,Holly Holm
2017-12-30,Khalil Rountree Jr.,Michal Oleksiejczuk
2017-12-30,Marvin Vettori,Omari Akhmedov
2018-03-03,Cristiane Justino,Yana Santos
2018-07-28,Randa Markos,Nina Nunes
2018-08-25,Joanne Wood,Kalindra Faria
2018-09-22,Randa Markos,Marina Rodriguez
2018-11-03,Matt Frevola,Lando Vannata
2018-12-08,Claudia Gadelha,Nina Nunes
2018-12-29,Andrei Arlovski,Walt Harris
2018-12-29,Cristiane Justino,Amanda Nunes
2019-01-19,Joanne Wood,Ariane da Silva
2019-06-08,Katlyn Cerminara,Joanne Wood
2019-06-08,Tatiana Suarez,Nina Nunes
2019-07-13,Mike Rodriguez,John Allan
2019-07-27,Cristiane Justino,Felicia Spencer
2019-08-31,Song Kenan,Derrick Krantz
2019-08-31,Wu Yanan,Mizuki
2019-09-07,Joanne Wood,Andrea Lee
2019-09-07,Zubaira Tukhugov,Lerone Murphy
2019-09-14,Todd Duffee,Jeff Hughes
2019-09-21,Brandon Moreno,Askar Askarov
2019-09-21,Yair Rodriguez,Jeremy Stephens
2019-10-18,Greg Hardy,Ben Sosoli
2019-11-16,Mauricio Rua,Paul Craig
2019-12-07,Cody Stamann,Song Yadong
2019-12-07,Marina Rodriguez,Cynthia Calvillo
2020-01-18,Brian Kelleher,Ode Osbourne
2020-03-14,Rani Yahya,Enrique Barzola
2020-05-09,Uriah Hall,Jacare Souza
2020-06-27,Mara Romero Borella,Miranda Maverick
2020-08-01,Chris Gutierrez,Cody Durden
2020-08-01,Joanne Wood,Jennifer Maia
2020-08-15,Kai Kamaka,Tony Kelley
2020-08-22,Amanda Lemos,Mizuki
2020-09-19,Donald Cerrone,Niko Price
2020-10-03,Charles Jourdain,Josh Culibao
2020-10-24,Da Woon Jung,Sam Alvey
2020-12-12,Deiveson Figueiredo,Brandon Moreno
2021-01-23,Arman Tsarukyan,Matt Frevola
2021-01-23,Jessica Eye,Joanne Wood
2021-02-06,Devonte Smith,Justin Jaynes
2021-02-06,Karol Rosa,Joselyne Edwards
2021-02-06,Ode Osbourne,Jerome Rivera
2021-02-06,Timur Valiev,Martin Day
2021-02-27,Montana De La Rosa,Mayra Bueno Silva
2021-03-13,Eryk Anders,Darren Stewart
2021-03-13,Leon Edwards,Belal Muhammad
2021-05-01,Ion Cutelaba,Dustin Jacoby
2021-06-05,Alan Patrick,Mason Jones
2021-06-12,Lauren Murphy,Joanne Wood
2021-06-26,Andre Fili,Daniel Pineda
2021-07-31,Danny Chavez,Kai Kamaka
2021-09-18,Gustavo Lopez,Alatengheili
2021-10-02,Kevin Holland,Kyle Daukaus
2021-10-23,Grant Dawson,Ricky Glenn
