event_date,fighter1,fighter2,event_name,bfo_url
2017-06-17,Li Jingliang,Frank Camacho,UFC Fight Night: Holm vs. Correia,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
2017-06-25,Dominick Reyes,Joachim Christensen,UFC Fight Night: Chiesa vs. Lee,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
2017-06-25,Carla Esparza,Maryna Moroz,UFC Fight Night: Chiesa vs. Lee,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
2017-07-07,Drakkar Klose,Marc Diakiese,The Ultimate Fighter: Redemption Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
2017-07-29,Daniel Cormier,Jon Jones,UFC 214: Cormier vs. Jones 2,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
2017-10-07,Beneil Dariush,Evan Dunham,UFC 216: Ferguson vs. Lee,https://www.bestfightodds.com/events/ufc-216-ferguson-vs-lee-1341
2017-10-07,Lando Vannata,Bobby Green,UFC 216: Ferguson vs. Lee,https://www.bestfightodds.com/events/ufc-216-ferguson-vs-lee-1341
2017-11-11,Nina Nunes,Angela Hill,UFC Fight Night: Poirier vs. Pettis,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
2017-11-25,Song Yadong,Bharat Kandare,UFC Fight Night: Bisping vs. Gastelum,https://www.bestfightodds.com/events/ufc-fight-night-122-bisping-vs-gastelum-1363
2017-12-01,DeAnna Bennett,Melinda Fabian,The Ultimate Fighter: A New World Champion Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
2017-12-02,Tecia Torres,Michelle Waterson-Gomez,UFC 218: Holloway vs. Aldo 2,https://www.bestfightodds.com/events/ufc-218-holloway-vs-aldo-2-1368
2017-12-30,Khalil Rountree Jr.,Michal Oleksiejczuk,UFC 219: Cyborg vs. Holm,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
2017-12-30,Marvin Vettori,Omari Akhmedov,UFC 219: Cyborg vs. Holm,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
2018-03-03,Cristiane Justino,Yana Santos,UFC 222: Cyborg vs. Kunitskaya,https://www.bestfightodds.com/events/ufc-222-cyborg-vs-kunitskaya-1422
2018-09-22,Randa Markos,Marina Rodriguez,UFC Fight Night: Marreta vs. Anders,https://www.bestfightodds.com/events/ufc-fight-night-137-santos-vs-anders-1544
2018-11-03,Matt Frevola,Lando Vannata,UFC 230: Cormier vs. Lewis,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
2019-01-19,Joanne Wood,Ariane Lipski,UFC Fight Night: Cejudo vs. Dillashaw,https://www.bestfightodds.com/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623
2019-03-02,Zhang Weili,Tecia Torres,UFC 235: Jones vs. Smith,https://www.bestfightodds.com/events/ufc-235-jones-vs-smith-1625
2019-06-08,Katlyn Chookagian,Joanne Wood,UFC 238: Cejudo vs. Moraes,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
2019-07-13,Mike Rodriguez,John Allan,UFC Fight Night: De Randamie vs. Ladd,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
2019-09-07,Joanne Wood,Andrea Lee,UFC 242: Khabib vs. Poirier,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
2019-09-07,Zubaira Tukhugov,Lerone Murphy,UFC 242: Khabib vs. Poirier,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
2019-09-14,Todd Duffee,Jeff Hughes,UFC Fight Night: Cowboy vs. Gaethje,https://www.bestfightodds.com/events/ufc-on-espn-16-cowboy-vs-gaethje-1735
2019-09-21,Yair Rodriguez,Jeremy Stephens,UFC Fight Night: Rodriguez vs. Stephens,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
2019-09-21,Brandon Moreno,Askar Askarov,UFC Fight Night: Rodriguez vs. Stephens,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
2019-10-18,Greg Hardy,Ben Sosoli,UFC Fight Night: Reyes vs. Weidman,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
2019-11-16,Ariane Lipski,Isabela de Padua,UFC Fight Night: Blachowicz vs. Jacare,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755
