event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,event_name,source_url
2015-04-11,Gabriel Gonzaga,Mirko Filipovic,2015-04-11,0,0.5,0.5,1.3,1.3,1,UFC Fight Night: Gonzaga vs Cro Cop 2,https://www.bestfightodds.com/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936
2015-04-25,Quinton Jackson,Fabio Maldonado,2015-04-25,0,0.5,0.5,1.25,1.25,1,UFC 186: Johnson vs Horiguchi,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
2015-05-09,Dylan Andrews,Brad Scott,2015-05-09,0,0.5,0.5,1.2,1.2,1,UFC Fight Night: Miocic vs Hunt,https://www.bestfightodds.com/events/ufc-fight-night-65-hunt-vs-miocic-950
2015-05-16,Gegard Mousasi,Constantinos Philippou,2015-05-16,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Edgar vs Faber,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
2015-05-23,Justin Scoggins,Josh Sampo,2015-05-23,0,0.5,0.5,1.25,1.25,1,UFC 187: Johnson vs Cormier,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
2015-08-01,Rafael Cavalcante,Patrick Cummins,2015-08-01,0,0.5,0.5,1.26,1.26,1,UFC 190: Rousey vs Correia,https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960
2015-08-01,Stefan Struve,Antonio Rodrigo Nogueira,2015-08-01,0,0.5,0.5,1.24,1.24,1,UFC 190: Rousey vs Correia,https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960
2015-10-24,Darren Elkins,Robert Whiteford,2015-10-24,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Holohan vs Smolka,https://www.bestfightodds.com/events/ufc-fight-night-76-holohan-vs-smolka-976
2015-11-07,Edimilson Souza,Chas Skelly,2015-11-07,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Belfort vs Henderson 3,https://www.bestfightodds.com/events/ufc-fight-night-77-belfort-vs-henderson-3-997
2016-02-06,Ovince Saint Preux,Rafael Cavalcante,2016-02-06,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Hendricks vs Thompson,https://www.bestfightodds.com/events/ufc-fight-night-82-hendricks-vs-thompson-1056
