event_date,fighter_a,fighter_b
2010-11-20,Mike Lullo,Edson Barboza
2010-11-20,Matt Brown,Brian Foster
2010-11-20,Karo Parisyan,Dennis Hallman
2010-11-20,Gerald Harris,Maiquel Falcao
2010-11-20,George Sotiropoulos,Joe Lauzon
2010-11-20,Aaron Simpson,Mark Munoz
2010-11-20,Matt Hughes,BJ Penn
2010-12-04,Jonathan Brookins,Michael Johnson
2010-12-04,Stephan Bonnar,Igor Pokrajac
2010-12-04,Sako Chivitchian,Kyle Watson
2010-12-04,Rich Attonito,David Branch
2010-12-04,Nam Phan,Leonard Garcia
2010-12-04,Ian Loveland,Tyler Toner
2010-12-04,Johny Hendricks,Rick Story
2010-12-04,Will Campuzano,Nick Pace
2010-12-04,Fredson Paixao,Pablo Garza
2010-12-04,Cody McKenzie,Aaron Wilkinson
2010-12-04,Kendall Grove,Demian Maia
2010-12-11,Stefan Struve,Sean McCorkle
2010-12-11,Pat Audinwood,John Makdessi
2010-12-11,Thiago Alves,John Howard
2010-12-11,TJ Grant,Ricardo Almeida
2010-12-11,Matthew Riddle,Sean Pierson
2010-12-11,Mark Bocek,Dustin Hazelett
2010-12-11,Joe Stevenson,Mac Danzig
2010-12-11,Joe Doerksen,Dan Miller
2010-12-11,Jim Miller,Charles Oliveira
2010-12-11,Jesse Bongfeldt,Rafael Natal
2010-12-11,Georges St-Pierre,Josh Koscheck
2011-01-01,Phil Baroni,Brad Tavares
2011-01-01,Nate Diaz,Dong Hyun Kim
2011-01-01,Mike Brown,Diego Nunes
2011-01-01,Jeremy Stephens,Marcus Davis
2011-01-01,Jacob Volkmann,Antonio McKee
2011-01-01,Frankie Edgar,Gray Maynard
2011-01-01,Dustin Poirier,Josh Grispi
2011-01-01,Daniel Roberts,Greg Soto
2011-01-01,Clay Guida,Takanori Gomi
2011-01-01,Chris Leben,Brian Stann
2011-01-01,Brandon Vera,Thiago Silva
2011-01-22,Will Campuzano,Chris Cariaso
2011-01-22,Waylon Lowe,Willamy Freire
2011-01-22,Rani Yahya,Mike Brown
