event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2026-03-14,Elijah Smith,SuYoung You,2026-03-14,0,0.694501,0.305499,1.363636,3.1,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Elijah-Smith-14272,Suyoung You | +210 | +210 | ... | +230 | Mar 14th 2026
2026-03-14,Ion Cutelaba,Oumar Sy,2026-03-14,0,0.279273,0.720727,3.4,1.31746,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Ion-Cutelaba-4315,Oumar Sy | -200 | -420 | ... | -250 | Mar 14th 2026
2026-03-14,Josh Emmett,Kevin Vallejos,2026-03-14,0,0.19122,0.80878,5.0,1.182149,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Josh-Emmett-6405,Kevin Vallejos | -500 | -560 | ... | -480 | Mar 14th 2026
2026-03-14,Piera Rodriguez,Sam Hughes,2026-03-14,0,0.568966,0.431034,1.666667,2.2,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Piera-Rodriguez-11127,Sam Hughes | +120 | +118 | ... | +128 | Mar 14th 2026
2026-03-14,Vitor Petrino,Steven Asplund,2026-03-14,0,0.661191,0.338809,1.444444,2.8,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Vitor-Petrino-14346,Steven Asplund | +205 | +163 | ... | +188 | Mar 14th 2026
2026-03-21,Iwo Baraniewski,Austen Lane,2026-03-21,0,0.842558,0.157442,1.13986,6.1,5,https://www.bestfightodds.com/events/ufc-london-4081,https://www.bestfightodds.com/fighters/Iwo-Baraniewski-19868,Austen Lane | +350 | +410 | ... | +550 | Mar 21st 2026
2026-03-21,Michael Page,Sam Patterson,2026-03-21,0,0.63869,0.36131,1.487805,2.63,5,https://www.bestfightodds.com/events/ufc-london-4081,https://www.bestfightodds.com/fighters/Michael-Page-3937,Sam Patterson | +135 | +144 | ... | +190 | Mar 21st 2026
2026-03-21,Movsar Evloev,Lerone Murphy,2026-03-21,0,0.685393,0.314607,1.4,3.05,5,https://www.bestfightodds.com/events/ufc-london-4081,https://www.bestfightodds.com/fighters/Movsar-Evloev-8457,Lerone Murphy | +210 | +175 | ... | +210 | Mar 21st 2026
2026-03-21,Roman Dolidze,Christian Leroy Duncan,2026-03-21,0,0.241805,0.758195,3.95,1.25974,5,https://www.bestfightodds.com/events/ufc-london-4081,https://www.bestfightodds.com/fighters/Roman-Dolidze-9094,Christian Leroy Duncan | -250 | -470 | ... | -370 | Mar 21st 2026
2026-03-28,Alexa Grasso,Maycee Barber,2026-03-28,0,0.365854,0.634146,2.6,1.5,5,https://www.bestfightodds.com/events/ufc-seattle-4018,https://www.bestfightodds.com/fighters/Alexa-Grasso-5096,Maycee Barber | -200 | -205 | ... | -158 | Mar 29th 2026
2026-03-28,Alexia Thainara,Bruna Brasil,2026-03-28,0,0.849948,0.150052,1.12987,6.4,5,https://www.bestfightodds.com/events/ufc-seattle-4095,https://www.bestfightodds.com/fighters/Alexia-Thainara-15137,Bruna Brasil | +250 | +330 | ... | +650 | Mar 28th 2026
