Date,Winner,Loser,B365W,B365L,tournament,tour,source
2022-05-12,Gracheva V.,Jang S. J.,1.33,3.4,Paris,wta,betexplorer
2022-05-12,Jacquemot E.,Kalinskaya A.,3.0,1.4,Paris,wta,betexplorer
2022-05-12,Vekic D.,Zuger J.,1.14,5.5,Paris,wta,betexplorer
2022-05-13,Bogdan A.,Frech M.,1.53,2.5,Paris,wta,betexplorer
2022-05-13,Liu C.,Gracheva V.,1.61,2.3,Paris,wta,betexplorer
2022-05-13,Haddad Maia B.,Jacquemot E.,1.33,3.4,Paris,wta,betexplorer
2022-05-13,Kanepi K.,Vekic D.,1.4,3.0,Paris,wta,betexplorer
2022-05-14,Haddad Maia B.,Bogdan A.,2.0,1.8,Paris,wta,betexplorer
2022-05-14,Liu C.,Kanepi K.,2.3,1.61,Paris,wta,betexplorer
2022-05-15,Liu C.,Haddad Maia B.,1.9,1.9,Paris,wta,betexplorer
2022-05-31,Noskova L.,Gorgodze E.,1.44,2.75,Makarska,wta,betexplorer
2022-05-31,Schmiedlova A. K.,Krunic A.,1.8,2.0,Makarska,wta,betexplorer
2022-05-31,Niemeier J.,Sharma A.,1.3,3.5,Makarska,wta,betexplorer
2022-05-31,Potapova A.,Pera B.,2.0,1.8,Makarska,wta,betexplorer
2022-05-31,Tomova V.,Selekhmeteva O.,1.8,2.0,Makarska,wta,betexplorer
2022-06-01,Avanesyan E.,Monnet C.,1.44,2.75,Makarska,wta,betexplorer
2022-06-01,Burel C.,Bara I.,1.9,1.9,Makarska,wta,betexplorer
2022-06-01,Danilovic O.,Hozumi E.,1.08,8.0,Makarska,wta,betexplorer
2022-06-01,Cocciaretto E.,Frech M.,1.9,1.9,Makarska,wta,betexplorer
2022-06-01,Gasanova A.,Bronzetti L.,3.4,1.33,Makarska,wta,betexplorer
2022-06-01,Gracheva V.,Jakupovic D.,1.2,4.5,Makarska,wta,betexplorer
2022-06-01,Ruzic A.,Herdzelas D.,1.57,2.37,Makarska,wta,betexplorer
2022-06-01,Tikhonova A.,Samardzic A. E.,1.01,21.0,Makarska,wta,betexplorer
2022-06-01,Wang Xiy.,Lukas T.,1.5,2.62,Makarska,wta,betexplorer
2022-06-01,Wuerth T.,Jani R-L.,2.5,1.53,Makarska,wta,betexplorer
2022-06-02,Burel C.,Avanesyan E.,2.3,1.61,Makarska,wta,betexplorer
2022-06-02,Cocciaretto E.,Grabher J.,1.53,2.5,Makarska,wta,betexplorer
2022-06-02,Danilovic O.,Gracheva V.,2.1,1.72,Makarska,wta,betexplorer
2022-06-02,Niemeier J.,Wang Xiy.,1.53,2.5,Makarska,wta,betexplorer
2022-06-02,Noskova L.,Tomova V.,1.72,2.1,Makarska,wta,betexplorer
2022-06-02,Schmiedlova A. K.,Ruzic A.,1.44,2.75,Makarska,wta,betexplorer
2022-06-02,Gasanova A.,Tikhonova A.,1.36,3.2,Makarska,wta,betexplorer
2022-06-02,Wuerth T.,Potapova A.,5.5,1.14,Makarska,wta,betexplorer
2022-06-03,Cocciaretto E.,Burel C.,1.36,3.2,Makarska,wta,betexplorer
2022-06-03,Schmiedlova A. K.,Danilovic O.,2.0,1.8,Makarska,wta,betexplorer
2022-06-03,Niemeier J.,Gasanova A.,1.2,4.5,Makarska,wta,betexplorer
2022-06-03,Noskova L.,Wuerth T.,1.44,2.75,Makarska,wta,betexplorer
2022-06-04,Niemeier J.,Noskova L.,1.5,2.62,Makarska,wta,betexplorer
2022-06-04,Cocciaretto E.,Schmiedlova A. K.,1.66,2.2,Makarska,wta,betexplorer
2022-06-05,Niemeier J.,Cocciaretto E.,1.66,2.2,Makarska,wta,betexplorer
