event_year,tour,player_a,player_b,source_event_id,scheduled_match_start,snapshot_timestamp,bookmaker_last_update,snapshot_before_start,bookmaker_update_before_start,snapshot_gap_minutes
2022,atp,Roberto Bautista Agut,Stefano Travaglia,13808c32bdcd5d88a7c8b15e5ed2acc1,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Marco Cecchinato,Philipp Kohlschreiber,fdba2adf6bc8cea932e2cdc9eb169c88,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Frances Tiafoe,Marco Trungelliti,2793d011e8d26fde700f4fc664e6c370,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Maximilian Marterer,Taylor Fritz,d980092ba0c5b3845bd4aedab981f1ee,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Grigor Dimitrov,Jiri Lehecka,3613170bf6b339eac407d387117e14b7,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Benoit Paire,Thiago Monteiro,7c42ab145aaf990cfcc9a10ffb6cb1fe,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Mikael Ymer,Stefanos Tsitsipas,92173f49f5f21bddb36c3c0b22f78f17,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Andrey Rublev,Gianluca Mager,78f50695234511875a7c289a4406226c,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Ricardas Berankis,Roberto Carballes Baena,04b2b69bc1a1fba4119c84ae0835f759,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Norbert Gombos,Timofey Skatov,3036eb6aad36155fa4dbde12e2e05cd7,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Emilio Gomez,Marin Cilic,b258c3e3ffeaa5683e4d75b417068fae,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Daniel Evans,David Goffin,2ee77b9263535219e305d8321408ede7,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Alexei Popyrin,Arthur Rinderknech,f6f2610eedf639027da1f56bcd805359,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Alejandro Davidovich Fokina,Alex Bolt,88a871c19a8bc731631e08a2a5fe5f0b,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Emil Ruusuvuori,Felix Auger Aliassime,d9ad178af2c6cc287e58a3e530cb4475,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Diego Schwartzman,Filip Krajinovic,23b06d8c2206a592f2b1beb29dcd8715,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Christopher Oconnell,Hugo Gaston,e58c2dc28baf7349d6fbec43697d9823,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Juan Manuel Cerundolo,Tomas Machac,8c616a303ba9d64284e54b960d1f6963,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,John Isner,Maxime Cressy,8172948ef98a5bd4a745d4b876edc966,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Richard Gasquet,Ugo Humbert,e79fe84ed5f186ef15455c2877b43bfb,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Botic Van De Zandschulp,Jan Lennard Struff,bd9e8aa2930dfce1e86b443c9ce838ce,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Liam Broady,Nick Kyrgios,24c1ac76dc303438eb081565d2eae4b3,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Daniil Medvedev,Henri Laaksonen,511b55bdbc4ee88ea786a42ba5379fcc,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,wta,Anastasia Potapova,Camila Giorgi,6da0bd5ea636484919feac5029846850,2022-01-17 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,365.0
2022,wta,Belinda Bencic,Kristina Mladenovic,e23b47c4c4d8e3e2ae6512b30871caa5,2022-01-17 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,365.0
2022,wta,Amanda Anisimova,Arianne Hartono,6a53a3c5ef8bffce1466e980303996d2,2022-01-17 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,365.0
2022,wta,Aliaksandra Sasnovich,Qinwen Zheng,886e933a6e13e0b62ffcf2dbf9af14ce,2022-01-17 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,365.0
2022,wta,Maria Sakkari,Tatjana Maria,55a3f4d6b5a138131290dd2a915e643c,2022-01-17 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,365.0
2022,wta,Elina Svitolina,Fiona Ferro,8775f5aa892457ef0de556ac0fbcbfb8,2022-01-17 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,365.0
2022,wta,Kirsten Flipkens,Sara Sorribes Tormo,78bb2ef7575f14996b46f1aa65e5b300,2022-01-17 01:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,440.0
2022,wta,Diane Parry,Marta Kostyuk,3a4bd905508095c6804383f9f52913fe,2022-01-17 01:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,440.0
2022,wta,Lauren Davis,Tereza Martincova,94710402e6977bb118e3be7597dedf49,2022-01-17 02:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,485.0
2022,wta,Kaja Juvan,Maryna Zanevska,ecef108849cbb590a02bcca3d3b19652,2022-01-17 02:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,485.0
