tour,player_id,player_name,needs_age,needs_hand,needs_height,affected_rows,latest_event_date,missing_fields
atp,R09X,J. Rodionov,True,True,True,1,2025-10-20,"age,hand,height_cm"
atp,S0WT,J. Schwaerzler,True,True,True,1,2025-07-21,"age,hand,height_cm"
atp,S0RE,J. Shang,True,True,True,17,2026-02-23,"age,hand,height_cm"
atp,S0AG,J. Sinner,True,True,True,76,2026-03-18,"age,hand,height_cm"
atp,SL28,J. Struff,True,True,True,42,2026-03-18,"age,hand,height_cm"
atp,TC61,J. Thompson,True,True,True,26,2026-01-18,"age,hand,height_cm"
atp,T0BW,J. Trotter,True,True,True,2,2025-10-01,"age,hand,height_cm"
atp,W0ED,J. Watt,True,True,True,1,2026-01-12,"age,hand,height_cm"
atp,D0C1,J. de Jong,True,True,True,31,2026-02-16,"age,hand,height_cm"
atp,J0AZ,K. Jacquet,True,True,True,5,2026-01-18,"age,hand,height_cm"
atp,KE29,K. Khachanov,True,True,True,68,2026-03-18,"age,hand,height_cm"
atp,MQ75,K. Majchrzak,True,True,True,34,2026-03-18,"age,hand,height_cm"
atp,N552,K. Nishikori,True,True,True,11,2025-08-07,"age,hand,height_cm"
atp,S0HR,K. Samrej,True,True,True,1,2025-01-12,"age,hand,height_cm"
atp,SM88,K. Sell,True,True,True,1,2025-05-18,"age,hand,height_cm"
atp,A0IY,L. Alvarez,True,True,True,2,2025-07-14,"age,hand,height_cm"
atp,B0JG,L. Borg,True,True,True,2,2025-10-13,"age,hand,height_cm"
atp,D0FJ,L. Darderi,True,True,True,67,2026-03-18,"age,hand,height_cm"
atp,DB63,L. Djere,True,True,True,28,2026-02-09,"age,hand,height_cm"
atp,D0DP,L. Draxl,True,True,True,3,2026-03-18,"age,hand,height_cm"
atp,HG86,L. Harris,True,True,True,5,2025-08-24,"age,hand,height_cm"
atp,KI63,L. Klein,True,True,True,1,2025-01-12,"age,hand,height_cm"
atp,M0OH,L. Midon,True,True,True,1,2026-02-09,"age,hand,height_cm"
atp,M0WY,L. Miguel,True,True,True,1,2026-02-16,"age,hand,height_cm"
atp,M0EJ,L. Musetti,True,True,True,72,2026-03-04,"age,hand,height_cm"
atp,N0BG,L. Nardi,True,True,True,27,2026-02-23,"age,hand,height_cm"
