event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2023-09-16,atp,Davis Cup WG2 R1: HKG vs LAT,Davis Cup WG2 R1: HKG vs LAT 2023,RR,Robert Strombachs,Coleman Wong,Coleman Wong,Robert Strombachs,betexplorer_team_events,2023-09-17,Strombachs R. vs Wong C.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: HKG vs LAT,Davis Cup WG2 R1: HKG vs LAT 2023,RR,Robert Strombachs,Hong Kit Jack Wong,Hong Kit Jack Wong,Robert Strombachs,betexplorer_team_events,2023-09-16,Strombachs R. vs Wong H. K.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: IND vs MAR,Davis Cup WG2 R1: IND vs MAR 2023,RR,Digvijaypratap Singh,Walid Ahouda,Digvijaypratap Singh,Walid Ahouda,betexplorer_team_events,2023-09-17,Singh D. vs Ahouda W.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: IND vs MAR,Davis Cup WG2 R1: IND vs MAR 2023,RR,Sumit Nagal,Adam Moundir,Adam Moundir,Sumit Nagal,betexplorer_team_events,2023-09-16,Nagal S. vs Moundir A.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: IND vs MAR,Davis Cup WG2 R1: IND vs MAR 2023,RR,Sumit Nagal,Yassine Dlimi,Sumit Nagal,Yassine Dlimi,betexplorer_team_events,2023-09-17,Nagal S. vs Dlimi Y.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: MEX vs CHN,Davis Cup WG2 R1: MEX vs CHN 2023,RR,Ernesto Escobedo,Yi Zhou,Ernesto Escobedo,Yi Zhou,betexplorer_team_events,2023-09-17,Escobedo E. vs Zhou Y.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: MEX vs CHN,Davis Cup WG2 R1: MEX vs CHN 2023,RR,Rigele Te,Ernesto Escobedo,Ernesto Escobedo,Rigele Te,betexplorer_team_events,2023-09-16,Te R. vs Escobedo E.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: PAK vs INA,Davis Cup WG2 R1: PAK vs INA 2023,RR,Aisam Ul Haq Qureshi,David Agung Susanto,Aisam Ul Haq Qureshi,David Agung Susanto,betexplorer_team_events,2023-09-16,Qureshi A. vs Susanto D. A.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: PAK vs INA,Davis Cup WG2 R1: PAK vs INA 2023,RR,Aqeel Khan,Gunawan Trismuwantara,Aqeel Khan,Gunawan Trismuwantara,betexplorer_team_events,2023-09-16,Khan A. vs Trismuwantara G.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: PAK vs INA,Davis Cup WG2 R1: PAK vs INA 2023,RR,Muhammad Shoaib,Gunawan Trismuwantara,Gunawan Trismuwantara,Muhammad Shoaib,betexplorer_team_events,2023-09-17,Shoaib M. vs Trismuwantara G.,dc-wg2-2023,False,source_has_no_numeric_odds
