tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,player_a_birth_date,player_a_birth_place,player_a_country_code,player_a_country_name,player_a_backhand,player_a_weight_kg,player_b_birth_date,player_b_birth_place,player_b_country_code,player_b_country_name,player_b_backhand,player_b_weight_kg,b365_a,b365_b,ps_a,ps_b,max_a,max_b,avg_a,avg_b,odds_date_diff,year
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,271,R32,3,78.0,6-4 6-2,Simona Halep,Destanee Aiava,20.0,316.0,2576.0,208.0,Destanee Aiava,Simona Halep,0,215018,201594,316.0,20.0,208.0,2576.0,21.6,30.2,R,R,175.0,168.0,,2,Q,,2000-05-10,"Melbourne, Australia",AUS,Australia,,,1991-09-27,"Constanta, Romania",ROU,Romania,,,6.5,1.11,8.63,1.09,9.0,1.13,7.29,1.09,2.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,281,R32,3,104.0,7-6(3) 7-6(4),Madison Brengle,Nao Hibino,59.0,129.0,1102.0,590.0,Madison Brengle,Nao Hibino,1,201483,211702,59.0,129.0,1102.0,590.0,31.7,27.0,R,R,168.0,163.0,,,,Q,1990-04-03,"Dover, Delaware, USA",USA,United States,,,1994-11-28,"Aichi, Japan",JPN,Japan,,,1.44,2.75,1.4,3.12,1.46,3.65,1.38,2.98,2.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,289,R16,3,94.0,6-3 6-4,Elena Rybakina,Marie Bouzkova,14.0,90.0,2855.0,838.0,Elena Rybakina,Marie Bouzkova,1,214981,213631,14.0,90.0,2855.0,838.0,22.5,23.4,R,R,184.0,180.0,7,,,Q,1999-06-17,"Moscow, Russia",KAZ,Kazakhstan,,,1998-07-21,"Prague, Czech Republic",CZE,Czech Republic,,,1.28,3.75,1.33,3.69,1.35,4.05,1.29,3.53,2.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,287,R16,3,122.0,7-6(4) 6-3,Misaki Doi,Anastasia Gasanova,105.0,130.0,771.0,587.0,Anastasia Gasanova,Misaki Doi,0,214181,201595,130.0,105.0,587.0,771.0,22.6,30.6,R,L,172.0,159.0,,,,,1999-05-15,"Saratov, Russia",RUS,Russia,,,,,,,,,2.0,1.8,1.92,1.99,2.1,1.99,1.96,1.84,3.0,2022
atp,2022-01-03,2022-9665,Melbourne,melbourne,A,Hard,32,295,QF,3,164.0,6-7(5) 6-0 7-5,Grigor Dimitrov,Botic Van De Zandschulp,28.0,57.0,1801.0,1034.0,Botic Van De Zandschulp,Grigor Dimitrov,0,122298,105777,57.0,28.0,1034.0,1801.0,26.2,30.6,R,R,191.0,191.0,,3.0,,,1995-10-04,"Wageningen, Netherlands",NED,Netherlands,Two-Handed,85.0,1991-05-16,"Haskovo, Bulgaria",BUL,Bulgaria,One-Handed,81.0,2.2,1.66,2.27,1.71,2.27,1.8,2.16,1.69,4.0,2022
atp,2022-01-03,2022-9665,Melbourne,melbourne,A,Hard,32,296,QF,3,67.0,6-2 6-1,Emil Ruusuvuori,Alex Molcan,95.0,88.0,778.0,806.0,Alex Molcan,Emil Ruusuvuori,0,144684,200325,88.0,95.0,806.0,778.0,24.0,22.7,L,R,178.0,188.0,,,,,,,,,,,1999-04-02,"Helsinki, Finland",FIN,Finland,Two-Handed,79.0,2.1,1.72,2.36,1.67,2.45,1.75,2.2,1.66,4.0,2022
atp,2022-01-03,2022-9665,Melbourne,melbourne,A,Hard,32,298,SF,3,123.0,7-5 7-6(9),Maxime Cressy,Grigor Dimitrov,112.0,28.0,683.0,1801.0,Grigor Dimitrov,Maxime Cressy,0,105777,202195,28.0,112.0,1801.0,683.0,30.6,24.6,R,R,191.0,201.0,3.0,,,Q,1991-05-16,"Haskovo, Bulgaria",BUL,Bulgaria,One-Handed,81.0,,,,,,,1.4,3.0,1.37,3.38,1.4,4.0,1.35,3.2,5.0,2022
atp,2022-01-03,2022-9665,Melbourne,melbourne,A,Hard,32,299,SF,3,116.0,6-4 7-5,Rafael Nadal,Emil Ruusuvuori,6.0,95.0,4875.0,778.0,Emil Ruusuvuori,Rafael Nadal,0,200325,104745,95.0,6.0,778.0,4875.0,22.7,35.5,R,L,188.0,185.0,,1.0,,,1999-04-02,"Helsinki, Finland",FIN,Finland,Two-Handed,79.0,,,,,,,5.0,1.16,4.42,1.25,5.1,1.25,4.45,1.2,5.0,2022
atp,2022-01-03,2022-9665,Melbourne,melbourne,A,Hard,32,300,F,3,107.0,7-6(6) 6-3,Rafael Nadal,Maxime Cressy,6.0,112.0,4875.0,683.0,Maxime Cressy,Rafael Nadal,0,202195,104745,112.0,6.0,683.0,4875.0,24.6,35.5,R,L,201.0,185.0,,1.0,Q,,,,,,,,,,,,,,6.0,1.12,6.15,1.16,7.0,1.18,5.66,1.14,6.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,271,R32,3,84.0,6-4 6-2,Kaja Juvan,Chloe Paquet,100.0,119.0,788.0,628.0,Chloe Paquet,Kaja Juvan,0,203564,215219,119.0,100.0,628.0,788.0,27.5,21.1,R,R,179.0,170.0,,,,,1994-07-01,"Versailles, France",FRA,France,,,2000-11-25,"Ljubljana, Slovenia",SLO,Slovenia,,,2.62,1.5,2.89,1.47,2.9,1.52,2.71,1.45,0.0,2022
