tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,fighter_a,fighter_b,best_of_5,surface_is_hard,surface_is_clay,surface_is_grass,surface_is_carpet,a_h2h_wins,b_h2h_wins,diff_h2h_wins,same_hand,a_elo,a_surface_elo,a_recent_form,a_surface_win_rate,a_num_matches,a_days_since_last_match,a_matches_last_7d,a_matches_last_30d,a_rank,a_rank_trend,a_age,a_is_left_handed,b_elo,b_surface_elo,b_recent_form,b_surface_win_rate,b_num_matches,b_days_since_last_match,b_matches_last_7d,b_matches_last_30d,b_rank,b_rank_trend,b_age,b_is_left_handed,diff_elo,diff_surface_elo,diff_recent_form,diff_surface_win_rate,diff_num_matches,diff_days_since_last_match,diff_matches_last_7d,diff_matches_last_30d,diff_rank,diff_rank_trend,diff_age,diff_is_left_handed
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,295,QF,3,67.0,6-3 6-2,Marin Cilic,Laslo Djere,30.0,52.0,1710.0,1131.0,Laslo Djere,Marin Cilic,0,111513,105227,52.0,30.0,1131.0,1710.0,26.5,33.2,R,R,188.0,198.0,7.0,3.0,,,Laslo Djere,Marin Cilic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,52.0,0.0,26.5,0.0,1516.736306793522,1512.414300586377,1.0,1.0,1,0.0,1.0,1.0,30.0,0.0,33.2,0.0,-0.7363067935220897,-0.4143005863770668,0.0,0.0,0,0.0,0.0,0.0,22.0,0.0,-6.700000000000003,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,296,QF,3,164.0,7-6(9) 4-6 6-4,Thanasi Kokkinakis,Mikael Ymer,171.0,94.0,394.0,782.0,Mikael Ymer,Thanasi Kokkinakis,0,144707,106423,94.0,171.0,782.0,394.0,23.3,25.7,R,R,183.0,193.0,,,,WC,Mikael Ymer,Thanasi Kokkinakis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1532.0,1524.0,1.0,1.0,2,0.0,2.0,2.0,94.0,0.0,23.3,0.0,1531.263693206478,1523.585699413623,1.0,1.0,2,0.0,2.0,2.0,171.0,0.0,25.7,0.0,0.7363067935220897,0.4143005863770668,0.0,0.0,0,0.0,0.0,0.0,-77.0,0.0,-2.3999999999999986,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,297,QF,3,68.0,6-4 6-1,Gael Monfils,Tommy Paul,21.0,43.0,2158.0,1349.0,Gael Monfils,Tommy Paul,1,104792,126205,21.0,43.0,2158.0,1349.0,35.3,24.6,R,R,193.0,185.0,1.0,6.0,,,Gael Monfils,Tommy Paul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1516.736306793522,1512.414300586377,1.0,1.0,1,0.0,1.0,1.0,21.0,0.0,35.3,0.0,1532.0,1524.0,1.0,1.0,2,0.0,2.0,2.0,43.0,0.0,24.6,0.0,-15.26369320647791,-11.585699413622933,0.0,0.0,-1,0.0,-1.0,-1.0,-22.0,0.0,10.699999999999996,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,298,SF,3,114.0,7-6(3) 6-3,Karen Khachanov,Marin Cilic,29.0,30.0,1731.0,1710.0,Karen Khachanov,Marin Cilic,1,111575,105227,29.0,30.0,1731.0,1710.0,25.6,33.2,R,R,198.0,198.0,2.0,3.0,,,Karen Khachanov,Marin Cilic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1533.4387739660467,1524.814308212328,1.0,1.0,2,0.0,2.0,2.0,29.0,0.0,25.6,0.0,1532.7023986633528,1524.3999911578462,1.0,1.0,2,0.0,2.0,2.0,30.0,0.0,33.2,0.0,0.7363753026938866,0.4143170544816712,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0,-7.600000000000001,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,299,SF,3,80.0,7-5 6-0,Gael Monfils,Thanasi Kokkinakis,21.0,171.0,2158.0,394.0,Gael Monfils,Thanasi Kokkinakis,1,104792,106423,21.0,171.0,2158.0,394.0,35.3,25.7,R,R,193.0,193.0,1.0,,,WC,Gael Monfils,Thanasi Kokkinakis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1533.4387739660467,1524.814308212328,1.0,1.0,2,0.0,2.0,2.0,21.0,0.0,35.3,0.0,1547.2976013366472,1535.6000088421538,1.0,1.0,3,0.0,3.0,3.0,171.0,0.0,25.7,0.0,-13.858827370600466,-10.785700629825897,0.0,0.0,-1,0.0,-1.0,-1.0,-150.0,0.0,9.599999999999998,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,300,F,3,79.0,6-4 6-4,Gael Monfils,Karen Khachanov,21.0,29.0,2158.0,1731.0,Gael Monfils,Karen Khachanov,1,104792,111575,21.0,29.0,2158.0,1731.0,35.3,25.6,R,R,193.0,198.0,1.0,2.0,,,Gael Monfils,Karen Khachanov,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1550.0766582701813,1537.1867134916133,1.0,1.0,3,0.0,3.0,3.0,21.0,0.0,35.3,0.0,1549.4048626809276,1536.7999982150097,1.0,1.0,3,0.0,3.0,3.0,29.0,0.0,25.6,0.0,0.6717955892536338,0.3867152766035815,0.0,0.0,0,0.0,0.0,0.0,-8.0,0.0,9.699999999999996,0.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,247,RR,3,65.0,6-1 6-2,Federico Delbonis,Aleksandre Metreveli,44.0,570.0,1327.0,55.0,Aleksandre Metreveli,Federico Delbonis,0,106223,105643,570.0,44.0,55.0,1327.0,28.3,31.2,R,L,183.0,193.0,,,,,Aleksandre Metreveli,Federico Delbonis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,570.0,,28.3,0.0,1500.0,1500.0,,,0,,0.0,0.0,44.0,,31.2,1.0,0.0,0.0,,,0,,0.0,0.0,526.0,,-2.8999999999999986,-1.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,248,RR,3,61.0,6-1 6-2,Diego Schwartzman,Nikoloz Basilashvili,13.0,22.0,2625.0,2101.0,Diego Schwartzman,Nikoloz Basilashvili,1,106043,105932,13.0,22.0,2625.0,2101.0,29.3,29.8,R,R,170.0,185.0,,,,,Diego Schwartzman,Nikoloz Basilashvili,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,13.0,,29.3,0.0,1500.0,1500.0,,,0,,0.0,0.0,22.0,,29.8,0.0,0.0,0.0,,,0,,0.0,0.0,-9.0,,-0.5,0.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,249,RR,3,53.0,6-1 6-1,Kamil Majchrzak,Aleksandre Bakshi,117.0,974.0,633.0,13.0,Aleksandre Bakshi,Kamil Majchrzak,0,126762,111794,974.0,117.0,13.0,633.0,24.4,25.9,L,R,180.0,180.0,,,,,Aleksandre Bakshi,Kamil Majchrzak,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,974.0,,24.4,1.0,1500.0,1500.0,,,0,,0.0,0.0,117.0,,25.9,0.0,0.0,0.0,,,0,,0.0,0.0,857.0,,-1.5,1.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,250,RR,3,122.0,6-7(5) 6-3 6-1,Hubert Hurkacz,Aleksandre Metreveli,9.0,570.0,3706.0,55.0,Aleksandre Metreveli,Hubert Hurkacz,0,106223,128034,570.0,9.0,55.0,3706.0,28.3,24.8,R,R,183.0,196.0,,,,,Aleksandre Metreveli,Hubert Hurkacz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1484.0,1488.0,0.0,0.0,1,0.0,1.0,1.0,570.0,0.0,28.3,0.0,1500.0,1500.0,,,0,,0.0,0.0,9.0,,24.8,0.0,-16.0,-12.0,,,1,,1.0,1.0,561.0,,3.5,0.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,251,RR,3,105.0,6-3 7-6(3),Kamil Majchrzak,Federico Delbonis,117.0,44.0,633.0,1327.0,Federico Delbonis,Kamil Majchrzak,0,105643,111794,44.0,117.0,1327.0,633.0,31.2,25.9,L,R,193.0,180.0,,,,,Federico Delbonis,Kamil Majchrzak,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,44.0,0.0,31.2,1.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,117.0,0.0,25.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-73.0,0.0,5.300000000000001,1.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,252,RR,3,81.0,6-1 6-4,Hubert Hurkacz,Diego Schwartzman,9.0,13.0,3706.0,2625.0,Diego Schwartzman,Hubert Hurkacz,0,106043,128034,13.0,9.0,2625.0,3706.0,29.3,24.8,R,R,170.0,196.0,,,,,Diego Schwartzman,Hubert Hurkacz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,13.0,0.0,29.3,0.0,1515.263693206478,1511.585699413623,1.0,1.0,1,0.0,1.0,1.0,9.0,0.0,24.8,0.0,0.7363067935220897,0.4143005863770668,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,4.5,0.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,253,RR,3,68.0,6-3 6-2,Michail Pervolarakis,Aleksandre Metreveli,399.0,570.0,106.0,55.0,Aleksandre Metreveli,Michail Pervolarakis,0,106223,133018,570.0,399.0,55.0,106.0,28.3,25.5,R,R,183.0,193.0,,,,,Aleksandre Metreveli,Michail Pervolarakis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1468.736306793522,1476.414300586377,0.0,0.0,2,0.0,2.0,2.0,570.0,0.0,28.3,0.0,1500.0,1500.0,,,0,,0.0,0.0,399.0,,25.5,0.0,-31.26369320647791,-23.585699413622933,,,2,,2.0,2.0,171.0,,2.8000000000000007,0.0
atp,2022-01-03,2022-8888,Atp Cup,cup,A,Hard,16,255,RR,3,91.0,7-6(5) 6-1,Federico Delbonis,Michail Pervolarakis,44.0,399.0,1327.0,106.0,Federico Delbonis,Michail Pervolarakis,1,105643,133018,44.0,399.0,1327.0,106.0,31.2,25.5,L,R,193.0,193.0,,,,,Federico Delbonis,Michail Pervolarakis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.5,0.5,2,0.0,2.0,2.0,44.0,0.0,31.2,1.0,1514.5641271217237,1511.186627862611,1.0,1.0,1,0.0,1.0,1.0,399.0,0.0,25.5,0.0,-14.564127121723686,-11.186627862610976,-0.5,-0.5,1,0.0,1.0,1.0,-355.0,0.0,5.699999999999999,1.0
